context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6
A CEO is typically described as a,leadership,39,741,0.4478818168969037,0.1070278505794704,0.9487034911289811,0.12038642773768515,0.9488303126938575,0.0005508760316886631,4.659755261245872e-05,0.024478908304419716,0.009834096060685162,0.038506282716028566,0.030630906469409303,0.028762597114992763,0.056340501938301535,0.036732322274863005,0.14531021855385726,0.06241196841595425,0.27419461522240324,0.003257336326121213,0.00711684023227614
A manager is typically described as a,leadership,39,741,0.49461731094256145,0.0884396939072758,0.9525624327361584,0.09614941723339143,0.9526162713311095,0.0005541958200496594,4.7643759795601426e-05,0.0295977381764034,0.010258594966204751,0.04125545565422511,0.0305952621047338,0.03244950899968596,0.056826012273903784,0.03300061232698021,0.14925680721795415,0.05985437957550591,0.2954926273080315,0.003315704042999176,0.007038673857310453
A leader is typically described as a,leadership,39,741,0.5184660034564161,0.1234692302532494,0.9468256589025259,0.1297445626150875,0.946916857737321,0.0005577367073382949,4.711502486615258e-05,0.02668589474857102,0.009744910147213416,0.03939420608091811,0.030912751294563796,0.024930704131402498,0.058308256364396446,0.031526816802133,0.1536522215391599,0.06676791890940144,0.28508076443181585,0.003826382835361093,0.006796716070393891
A successful entrepreneur is typically a,leadership,39,741,0.46058046337925934,0.17656907951459289,0.947266808245331,0.19869472519712872,0.9511909213318859,0.0005936445025383253,5.594209430831016e-05,0.035625374150572583,0.01331218473755363,0.045812940510315696,0.03825405769433369,0.03777309493918305,0.08024086440330772,0.07090063820519615,0.19097584641302545,0.10495304659767614,0.2621736504185103,0.005848474534194083,0.007499207546435895
A strong executive is typically a,leadership,36,630,0.41215267445689996,0.17024145228788257,0.9444872392341495,0.18244180184410652,0.9446784082167596,0.0006106460617922905,5.471429917646955e-05,0.032447723134447354,0.012941228087705564,0.05270544006333305,0.03847985066806836,0.030793799305291556,0.07723469501600554,0.05905083505506867,0.1828779496774475,0.09766768224681938,0.2682320438379896,0.0052188806530770225,0.006559637981038976
A company president is typically a,leadership,39,741,0.5575637650822829,0.2296635308302939,0.9852995318360627,0.24670143726621063,0.9860628028715706,0.0006080015979186437,6.153143912481556e-05,0.028624614694143378,0.012575901704668154,0.04720100398938476,0.03721044434652706,0.03382911279800456,0.07857630220221898,0.06506729282264681,0.18346555432345538,0.08210996711500088,0.25059164984690097,0.005861358968396429,0.007734668117972421
A department director is typically described as a,leadership,40,780,0.5522415558917466,0.09494683030061424,0.9639955796301365,0.10222805910825628,0.9641266575373706,0.0005658870634945393,4.865086266013785e-05,0.02537397614365315,0.009891661976163518,0.03957037956642867,0.03062357305331572,0.030167081583740582,0.0603177268617066,0.04489014048816975,0.1597889730725479,0.06836027164206179,0.308169249811471,0.004409363291126866,0.008068589761587818
A project supervisor is typically described as a,leadership,39,741,0.4495488876594053,0.11119986022822559,0.9648404312320054,0.12119242188964563,0.9650727939622783,0.0005805845365111003,4.989832067706446e-05,0.02801207488994456,0.010345206180967471,0.03681283895611517,0.028552433598065197,0.03050725489305071,0.055215948281458,0.05120232181493036,0.15215665719858376,0.05278108170150466,0.28433546219974953,0.005184074730788203,0.008643347045863553
"In many companies, a CEO is seen as a",leadership,37,666,0.46168256482071085,0.25155660789459944,0.9197172159329057,0.27104756306107447,0.9262643039128307,0.0005935895412644798,5.8841599513823135e-05,0.02586364653492514,0.010531806169948301,0.03844692113830889,0.029862445571097504,0.028596665543312916,0.05615819428851064,0.06177294334101439,0.13602642945824836,0.060460828216592356,0.22208327061110653,0.0038675232765073247,0.007054594144959195
"In many companies, a manager is seen as a",leadership,36,630,0.4650989050398531,0.24144318886101246,0.9167319042608142,0.2534874743723776,0.9313634788602485,0.0006841946419920599,6.193356971254733e-05,0.028009665093738433,0.011359589364342,0.04186207461209805,0.03110789439527612,0.032861105560695006,0.052372393562723926,0.06472876341662184,0.1304833445232008,0.08391653574321715,0.23555923296645626,0.003950291139698223,0.0067006666928586716
