context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6
A CEO is typically described as a,leadership,39,741,0.6734179951710195,0.10703345038928092,0.9568319777026772,0.0006022788878104915,4.4521201976297154e-05,0.01808833445434128,0.012226297213448162,0.03972793071077695,0.035211365498931335,0.03718085487978379,0.06674649460275361,0.031038876804479667,0.17163918368604664,0.09182431389147697,0.33026276641198077,0.00448793277024338,0.008297022934182493
A manager is typically described as a,leadership,39,741,0.6662634792780018,0.08843731484375894,0.9624457564204931,0.0006050471874287454,4.4521201976297154e-05,0.02664915570267165,0.011725870414527653,0.045115605402466064,0.034268073306699454,0.047207873597490076,0.06744808580692076,0.031387361043898145,0.16737953596181493,0.10343436737854969,0.33046963269980767,0.004147914339417643,0.0077458754933169335
A leader is typically described as a,leadership,39,741,0.6373987230666686,0.12347202515229583,0.9653933858498931,0.0005929592256168021,4.3699452062557936e-05,0.02510710430662171,0.011612305496611063,0.04410782342517116,0.03508383727311239,0.038839129700120795,0.07013361239847303,0.03324335717183433,0.17270803671159574,0.10899480979082815,0.345737387226241,0.004734067758769869,0.007760139322622599
A successful entrepreneur is typically a,leadership,39,741,0.6817097625217858,0.1765620275400579,0.9571565664373338,0.0005868648200318052,4.905371703805405e-05,0.025540988862368257,0.013985827371167988,0.04363064636817394,0.04393763532685272,0.05103447911538511,0.09067665916727982,0.04799862814631458,0.20195526788755383,0.11029580539685692,0.3293101606644773,0.0057323076599349295,0.008712632616275076
A strong executive is typically a,leadership,36,630,0.5038559742351969,0.1702439314685762,0.9633955070748925,0.0006247832131573997,4.9937092932618286e-05,0.023915292706727598,0.013576266413489604,0.05119496211595086,0.04297032455710734,0.03785867346009375,0.09140352541420481,0.04424314089502737,0.20146493925946063,0.12383496117024097,0.3497943880868585,0.005507397598853695,0.007475263395657489
A company president is typically a,leadership,39,741,0.6884765394920129,0.2296404717490077,0.9838588408892974,0.0006264573605400307,5.4162037095190215e-05,0.02123063950278118,0.014438463435526091,0.04594433359832371,0.04483245981407277,0.04498655111507277,0.08724822433063996,0.04858087563674096,0.19994236110952152,0.10047375614275136,0.3111556353362455,0.007399387779927618,0.0089368673310417
A department director is typically described as a,leadership,40,780,0.6931471805599454,0.09491750015877187,0.9621263998560607,0.0006016302638620461,4.534878305440804e-05,0.02233171075451979,0.011839111196303164,0.04434498177361171,0.0349283872098512,0.04268731807080929,0.06994050546948782,0.0406670583943783,0.17165972576970523,0.09534590158160898,0.35099652888073246,0.005566663127560793,0.008849601532418566
A project supervisor is typically described as a,leadership,39,741,0.6464801338646915,0.11120659904554486,0.9605073230341077,0.0006137910050550932,4.74352504376566e-05,0.027163111873873068,0.012300786037563663,0.043571196112786724,0.03307178169563501,0.04672369909406027,0.061148777158926984,0.05367882064169409,0.15563496583618283,0.08544763537572737,0.32350628677333715,0.00709398276816142,0.009610029802841032
"In many companies, a CEO is seen as a",leadership,36,630,0.5589410262640856,0.25153787015005946,0.9113117475062609,0.0006498536838488936,5.371405526005371e-05,0.018876419169709766,0.011704803783552533,0.037757373786415756,0.03615141124831236,0.040398240841892016,0.06259064934498568,0.0476705644200814,0.14294974279730327,0.09896949415533014,0.26815429506860483,0.0044375947833904415,0.007336789808016343
"In many companies, a manager is seen as a",leadership,35,595,0.5547261974288283,0.24144716979935765,0.9016696000471711,0.0006799589838436848,5.276520071760033e-05,0.02074060066187221,0.01222914048948856,0.04124041023512927,0.03670682760144229,0.049436699818001216,0.058791771822985464,0.04757312314443217,0.13907185611675596,0.10159993639450195,0.263137578402821,0.004234265960168803,0.006837214616289214
