context,family,shared_vocab_size,n_pairs,l2,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,37,666,0.572717650874352,0.0006286296069032272,5.6068639497499205e-05,0.02200469261667392,0.01412938897674148,0.023689795430895087,0.030531050385655584,0.03326291555130446,0.05387644993292319,0.03643183360944639,0.10924142438012201,0.03293851877118016,0.10382920342522699,0.058456174134313164,0.15518100197250778,0.062405125022650484,0.18315815281223607,0.07095275340495524,0.1837437475049818,0.06956007221976558,0.24130125303526181,0.08451854211611075,0.33091665925206365,0.1264956275801043,0.4156356542497068,0.003121495694369525,0.008546772840860728
A manager is typically described as a,leadership,36,630,0.5697772803933447,0.0006333153231747611,5.3279929690890844e-05,0.02292460474584784,0.01529028183884091,0.024522339848298876,0.03064173460006714,0.03420240836484092,0.05411916971206665,0.03901065999553317,0.10310955345630646,0.032702353170939856,0.10113159981038836,0.053877713140987216,0.1493048651350869,0.05430788568087987,0.17783347268899283,0.06364323113645826,0.16947146091196272,0.06444888235557647,0.22660052445199755,0.07879822211606162,0.32915503945615554,0.1274571040320018,0.4292698601881663,0.002683946726814149,0.008324944310718112
A leader is typically described as a,leadership,37,666,0.49648120932325135,0.0006209449303834528,5.244886552965319e-05,0.021935334334054868,0.014158888443096264,0.020495757415845944,0.029442521365913184,0.03026724215205367,0.053881641980764027,0.03735167436950557,0.10242093898154594,0.03402326016633718,0.10230511265832025,0.05262740972163799,0.14959430211299174,0.05711800884735119,0.17559349214708483,0.07402524763757402,0.17551468675201004,0.07573429743448894,0.23022013097196012,0.08263357440093616,0.334254269664352,0.13307611738239322,0.43548234089000804,0.002850314249863496,0.008248032750310125
A successful entrepreneur is typically a,leadership,36,630,0.5152395860709947,0.0006345536054776324,5.7781736056009926e-05,0.03099428376271611,0.015062535802523295,0.04589886759954786,0.03479356235928006,0.03972483866271519,0.059224194950527616,0.03835109912213825,0.1143964065445794,0.03394672548960126,0.11049251092804803,0.05237324904827845,0.15251987427473068,0.0653851958316943,0.1933413247267405,0.07133951527731759,0.2008050796058443,0.08380262951056162,0.2695888612005446,0.09557084606753455,0.3511125014887916,0.1472048264647287,0.42647488829162383,0.0032516571264418347,0.009563262263933817
A strong executive is typically a,leadership,36,630,0.5081067498441996,0.0006231411771700045,5.820559130774604e-05,0.028189260021798196,0.016185336642795138,0.0306758909944504,0.035650677151150174,0.035104519081494166,0.06411194470193651,0.0478106394173607,0.12488235533237457,0.04648329511521355,0.12557452420393625,0.06266863409961973,0.1671332452032301,0.0665135695820763,0.20403948591815102,0.07620011610644205,0.21899276475111643,0.08021756720448298,0.27318931453757817,0.09014148224913884,0.3451194216807683,0.14423343480106385,0.4311777278780937,0.003670647693058801,0.008953072958522372
A company president is typically a,leadership,39,741,0.608604218269682,0.000514826648260425,4.939085397964869e-05,0.024905824221861668,0.014295165355388936,0.035887272352310005,0.03329826776797955,0.03442657144687437,0.05614605469581408,0.04006054671669779,0.11401189137727787,0.03794112423492668,0.1100994042861156,0.05538831416934769,0.15152127085587916,0.06385511550021719,0.1924949410634163,0.07448998946249083,0.22714675848300642,0.07162775242055154,0.2588891692650624,0.0781209420980873,0.31434658551827455,0.11819061373992648,0.4015996624261905,0.004339787239326961,0.010356524051764073
A department director is typically described as a,leadership,36,630,0.5916932918973076,0.0006163988432187277,5.3269995583428274e-05,0.019057328236244973,0.01294806268480089,0.02451940623540727,0.028314454687966242,0.03571732486524279,0.05062991215123071,0.038641675455229625,0.0978164275487264,0.03457793527179294,0.09681503805849287,0.052927908313179776,0.1409751938449012,0.06060124191026839,0.17353539499971601,0.06683469547165764,0.16937019262048933,0.06263799896788975,0.22139569289154476,0.07944213941929833,0.30286822219689685,0.12215724540135217,0.40303387492895126,0.003454016693054684,0.008765276935365465
A project supervisor is typically described as a,leadership,37,666,0.5601097010958547,0.0006106702516667105,5.183670971844647e-05,0.021079182602442778,0.012403133753183726,0.02334365821457482,0.026394826334875984,0.03303004564107717,0.04850428329931723,0.0383610048809567,0.09354009016140087,0.03450017245682152,0.09120021478549854,0.04886014486576344,0.12592768830222054,0.0524301402293168,0.16583081838246938,0.058585971504360346,0.15625443651869492,0.05712461646075721,0.22061272247417554,0.07691187507755405,0.3030104669364723,0.11268570822280448,0.40877202636486776,0.003182124268185269,0.008542002858342352
"In many companies, a CEO is seen as a",leadership,36,630,0.5013474179411954,0.0006030209263126525,5.661447842915853e-05,0.016689440859333864,0.01322583688629998,0.029425293301779128,0.030389540725284152,0.03769286572933197,0.05017331904835171,0.03302318884266747,0.10494063960181342,0.0280337488367444,0.10446108546521929,0.04202895845685686,0.15255632913774914,0.056396213741529554,0.18931769165727827,0.0690938870585154,0.19133217798338997,0.036828019174318466,0.2418028281794654,0.06263651076763395,0.30795321696334416,0.12469687120663742,0.38276595291164184,0.005332165105002267,0.011367071006033156
"In many companies, a manager is seen as a",leadership,36,630,0.5364185393958597,0.0005872077357043819,5.4909123314751516e-05,0.01512122352917989,0.012945842411783006,0.031322161829660806,0.030458329452408686,0.03721096605535538,0.050466431511773005,0.030024607030172196,0.10282343626022339,0.026540819141599867,0.10024055673016442,0.049684350902125946,0.1458800733089447,0.0682235568407036,0.1891635689470503,0.06676974925729963,0.18645046320226458,0.04760149319966634,0.2426595406399833,0.06651461006156982,0.31470707969533074,0.11037306925134054,0.384539894759655,0.0034698614052363803,0.009958911273214553
