context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24,l3_layer_25,pertok_layer_25,l3_layer_26,pertok_layer_26,l3_layer_27,pertok_layer_27,l3_layer_28,pertok_layer_28,l3_layer_29,pertok_layer_29,l3_layer_30,pertok_layer_30,l3_layer_31,pertok_layer_31,l3_layer_32,pertok_layer_32
A CEO is typically described as a,leadership,33,528,0.3729946084661792,0.6893962509930134,0.8902359793428332,0.0005626145947609833,5.725601831283321e-05,0.01139769989318705,0.0002610105773926548,0.007455251626659873,0.0004153067552451921,0.0032856864873920737,0.0008073356702301928,0.003157874211431833,0.0012296416206524152,0.006432516151667594,0.0016542043747011733,0.008100205876265794,0.002375308220338147,0.008875098039825002,0.003481559328957386,0.00847812532466208,0.004934421511904307,0.00853213874983434,0.008315309053609157,0.009464427480737373,0.009019366750053884,0.01656651643853177,0.011097441396015206,0.019234154974432205,0.011961319689380384,0.014486356243411035,0.0124985031250412,0.011110561186265638,0.013912221635502616,0.011214340804860144,0.015590750044404607,0.013224351671481883,0.016988455184725693,0.021062392836493343,0.018696807603692432,0.028221044892949763,0.022280232945008045,0.02606203590738492,0.024294688041706147,0.012702530275536831,0.027119563838893537,0.01898189617456884,0.029901586483326123,0.028190448030654795,0.03290276039647987,0.016842849975993068,0.036479039605303826,0.021580821526716126,0.04001304615947889,0.019748319706401486,0.03861621273801249,0.021309333023644655,0.04352015691121854,0.019668333708097483,0.04545801965851286,0.02439858326718566,0.04548524544109255,0.023166721959452546,0.0470254071767751,0.02258102153048767,0.044292119605046996,0.022896417359472242,0.04518561209765061,0.10802742475051522,0.09900895621041854
A manager is typically described as a,leadership,34,561,0.498100358974375,0.7136459546163678,0.846445775590837,0.00047668360048759855,5.4365772946988124e-05,0.011225060930520451,0.00025678647192398915,0.007302006519732271,0.0004104460433295644,0.0027926810939179663,0.0008244750726675495,0.0033985948896785357,0.0013170777202592507,0.0052581576914469425,0.0018392392825534634,0.00730945506579877,0.002686928872316265,0.008050277849794662,0.004137119377054832,0.00803517545524121,0.006232201679217018,0.008454814228682469,0.009156228901199614,0.009486121515118523,0.01046609200517659,0.015294699291360235,0.012024862944100757,0.017682725163594173,0.012684724495210265,0.013830128208334885,0.01362559908578985,0.013346132152922402,0.01593113651227436,0.01400101683308796,0.018258428761232993,0.01685843854697087,0.020467746647441932,0.024902141795265252,0.022566034136142298,0.03191514362662851,0.02717951558299507,0.03281876121501896,0.030685404308968562,0.01908650438422192,0.036337653412652965,0.02533307320607884,0.0406371899500793,0.030696527198610917,0.044580987321068376,0.017464104983443904,0.05078013939790229,0.023580388018580874,0.05597797368313531,0.0222509950367492,0.05271308046340852,0.0276666730749582,0.0600778584864636,0.02666278512677717,0.06132833654818265,0.03142127899777478,0.06019996469159365,0.030073589234367953,0.06152429484561893,0.030482251851013515,0.05718653322850967,0.030089238519990694,0.0573100965016426,0.13370580426324527,0.114878426136056
A leader is typically described as a,leadership,34,561,0.46060288738256006,0.7696996980812401,0.9041440819855779,0.0004290936706555525,4.072279164128478e-05,0.010728102072703784,0.00023213120036358337,0.007589112287692544,0.00039856185353426277,0.0029992976732084093,0.0008311558051984162,0.0033063057443396947,0.0013314335303829463,0.0053369559678543965,0.0019870023496315974,0.0073655006990678284,0.0028469587711300527,0.009183778313767462,0.00409391276012369,0.008952836036100678,0.006346180583436324,0.010389528488225816,0.009993027811557413,0.01323953006210202,0.010091967638854008,0.02237414428350139,0.011490834783118986,0.02333835684261841,0.01209748936153269,0.016536790710207694,0.012726599799850868,0.014206585285478546,0.014735172097171645,0.014913400633345572,0.017003145227167105,0.01810054971055659,0.018617896126398695,0.025333594680075764,0.02028711750101487,0.03181701503637282,0.024695646398398385,0.03537807913659549,0.027365705349353186,0.01783068611592,0.03162785363265451,0.028097452437870006,0.03628192453638838,0.036198219871976016,0.040382436472682866,0.021747796150342606,0.04608725501125297,0.028077115980071413,0.04870161531739427,0.024832225384080097,0.04531578692887778,0.02854524959529242,0.04984274032300232,0.023716075386347894,0.049061644607721104,0.03048222243301695,0.04761765319769702,0.02888621441296444,0.048348731415077645,0.02904054317800186,0.04387086616131118,0.02926129660389406,0.042826240418601974,0.10199818119987346,0.08072059462895027
A successful entrepreneur is typically a,leadership,31,465,0.47935855268843414,0.5255126599222422,0.8360433205962181,0.0005157278341837392,4.955367103943695e-05,0.01082942597499772,0.0002276707147740488,0.008585405914590071,0.00045127917980501296,0.005177395870545755,0.0009012188271711804,0.004152650703676471,0.0014665744863472385,0.009523412846132782,0.001991687527761419,0.010636367887910947,0.0030245756239942493,0.010924361201825822,0.004635662557488463,0.008959332001323645,0.006224721797136709,0.009112954333851026,0.0073036230100946556,0.01016566490122304,0.007926878568673353,0.016579646554195037,0.009027736706533488,0.018859177916062005,0.009959221788038989,0.012502212330194917,0.01049010944703927,0.009717257042067507,0.012217730269976867,0.010210148854520025,0.015181765866004057,0.012092498876342351,0.017475824287288753,0.018506132239464835,0.018674587511386908,0.020745113955209563,0.02158368921272501,0.021145170593630865,0.0235260183433812,0.015648819839606858,0.026023279238314215,0.016693369557133367,0.02822349848383537,0.025099736025412298,0.03236285426281067,0.017310351561566007,0.0369464021998665,0.02306440628264149,0.03946800395367851,0.019301533839337713,0.042253763350254485,0.028641791429371004,0.045943858180370264,0.024635797239711526,0.04564663997201975,0.03538099047257473,0.04362989068754569,0.028672244270516702,0.04282166551726066,0.02822947784108233,0.03934429332139809,0.027373810988043184,0.04219998464916669,0.17287772466917595,0.14800608463966267
A strong executive is typically a,leadership,33,528,0.4695534605591375,0.4503513532690704,0.8973967651836574,0.0005226216572599276,4.221618567196666e-05,0.011334882746011963,0.000259433543899248,0.0086054960287883,0.00046470045314453,0.004473187322779626,0.0009520045461032043,0.0038658041653183723,0.0015794167593664891,0.007600623735650238,0.002221342772050607,0.010827887803372042,0.003527760961741926,0.013916531065701999,0.005347845202665177,0.013465322992090904,0.008063043163305555,0.012654446972981409,0.011148123613854997,0.01300232661477188,0.011837958867228469,0.024113870499587266,0.013675311167435922,0.022906862893316435,0.014974831958090375,0.016532525086991122,0.01631313015016137,0.013892006215057567,0.018636612993813053,0.014237654090951474,0.021840324291635033,0.018244884963943102,0.025067202815799012,0.025247830176532333,0.026235605812880813,0.026334776264632775,0.030046178392255752,0.025172095529774622,0.03169472411279131,0.01826249600491882,0.035784300432464125,0.021233621302674793,0.039495796958843636,0.03464193540543122,0.04549453644266527,0.02449274489999241,0.04826214829947527,0.0323627653918448,0.051283006270915345,0.029640526341884545,0.04814634102053877,0.03444208708077249,0.053471662062628655,0.03226247824826286,0.05499491324753166,0.040743643831212664,0.05405160065025231,0.03523781430968177,0.05350442039163873,0.033626740290549684,0.04771519611130329,0.033855921600512026,0.04954771200611475,0.1282545095305468,0.1062446269750196
A company president is typically a,leadership,34,561,0.5447654029528944,0.5432598302140832,0.9424711430910975,0.0005204986048575756,5.1733982942611176e-05,0.011098482175490481,0.00025016449439710213,0.008777819028939055,0.0004658606179285067,0.005716231931023188,0.0009224106615132994,0.0034629846975013437,0.0014933698045273525,0.00929715595499691,0.0020861474980424528,0.011589341925236222,0.0031540457554393754,0.014756982180751315,0.004534608384943762,0.010307269902907801,0.007368440799439256,0.009594133809460564,0.009473425966421534,0.011605091515691252,0.01033820681502075,0.020393570635268785,0.011161202306395623,0.02177133970623001,0.011826628352676035,0.015256114765332772,0.012547756476380782,0.011645730970781917,0.014574052367858708,0.014443012706926916,0.017395654143825077,0.015581892119077885,0.020825767278122926,0.027380844944304813,0.02384271144826552,0.03311886339895145,0.0280783579173919,0.03268901674821105,0.029487964233636282,0.02166515356131303,0.033554406908626905,0.027568239287356123,0.036528156848157786,0.037564030317892266,0.04034975899878335,0.026534514641604473,0.041981969023897184,0.029369538857637382,0.04801626942957255,0.028819874835807807,0.046113827199044714,0.03550184370702785,0.05330282885008641,0.031202490827083096,0.05496548584664799,0.03717371997701011,0.0554082049209452,0.03533927310727232,0.055216608929218855,0.03279405296089403,0.05323278410154445,0.03201288471760469,0.05346984869434209,0.13086046755562428,0.11545392762868709
A department director is typically described as a,leadership,35,595,0.5470619649471867,0.5665436843410134,0.8189062317833304,0.000519206332446131,6.440433520988569e-05,0.010470977750817304,0.00024084213119275968,0.006681508599686877,0.0003687680248422095,0.0027947312714003917,0.0007458636368581224,0.003334526744384413,0.0011884718386611093,0.00550270170303759,0.001553703466687982,0.007382031099664371,0.002041808873836943,0.008759254842703512,0.002971432631467095,0.00887697222793881,0.00426127121550096,0.008096846967956468,0.00703838119856325,0.00791091557352338,0.00809767748773769,0.01418751725721917,0.009124891948778505,0.015075750199011771,0.009991065871139763,0.011426684473351286,0.010597711061230775,0.011045318554062353,0.012357700965493724,0.011408099447190881,0.014193749769815956,0.012296026390693634,0.016192426584579367,0.01955202842362564,0.0179575085112134,0.02455137228534276,0.021309985971658514,0.021401577400405002,0.022319776558616104,0.012766868180821277,0.025973929123466966,0.01622888410310083,0.028435964189778395,0.021833143745002486,0.031165667102154317,0.017093196461929416,0.03407481927424064,0.0242483663208123,0.04179449416468745,0.02381442640946776,0.039042516985804424,0.02546327362435358,0.04474937139494124,0.022827696341316272,0.04691072252804576,0.02723307933811196,0.04759971596317095,0.026195315552938216,0.04977025562993241,0.02809550861035075,0.04773205097351935,0.026987027434310584,0.04843617486416771,0.08461011131177787,0.085171306579235
A project supervisor is typically described as a,leadership,33,528,0.483504548990025,0.6539315739646554,0.8140378748066723,0.0005087005795926457,5.203980895794644e-05,0.010949415936493536,0.0002664946646482818,0.006506231117762541,0.00039244453361899766,0.0030034239665773705,0.000787147368633901,0.0034057475612990426,0.001244420848248095,0.004789163385603233,0.0016395472886993965,0.007097680855742645,0.002253923884283272,0.007062546884388437,0.0032642679699395015,0.008367664616435296,0.0047209637323167315,0.007367565127050077,0.007681071552363346,0.00890140659870338,0.008553173899951997,0.015319604318942711,0.009743571741988671,0.014384079424513507,0.010695882939873622,0.01115784684083385,0.011112726749057661,0.010555701911457271,0.01297390492987037,0.010366383184518478,0.014969525472850458,0.01140673290653889,0.01678492578282945,0.01664095132818586,0.019098921647639683,0.02135363432097528,0.022975174826729696,0.0200017229207346,0.024639311414777498,0.016216387882423203,0.028781003697387668,0.0186826251848725,0.031524715215106754,0.024163603466006173,0.03506887099719399,0.017606451943242146,0.03953145490962502,0.024694321428023552,0.04803178457649455,0.023227823069881835,0.04504233728621977,0.02793107929948203,0.05165660754781124,0.02520287658127612,0.05375256584335253,0.028564854791783025,0.05372913445955856,0.026314322869220468,0.05601668878066173,0.02674315759310586,0.05270388962862147,0.025631240740902346,0.05394966992768928,0.09104424696601396,0.10874046048892973
"In many companies, a CEO is seen as a",leadership,30,435,0.33574491646942667,0.4326455625705421,0.8006201181560755,0.0005483655178304185,5.772375449278518e-05,0.0061346886567552935,0.0001969288759203547,0.00329401671465422,0.0002615541806258337,0.0022848196988876236,0.0004652545648841766,0.003676528549507416,0.0006927077735909023,0.0030982438014150585,0.0008605436800725934,0.005870661255950323,0.0012238459712104318,0.006339169849900099,0.0019491057527307694,0.008078341145917581,0.0026279843659981076,0.006918640214793582,0.0048926271542780436,0.00587309812497636,0.005053301387167904,0.01049326264991384,0.006181805164747437,0.010624927421747065,0.006758643579555009,0.007986976719496918,0.006991652527733346,0.007590644843719723,0.007845323063222368,0.008201923390845373,0.009091770724539653,0.008366786216565645,0.010033940266845265,0.014103056030646283,0.010792333779262704,0.018130718193077492,0.013340566435155628,0.019474195372113808,0.01530205681581979,0.01136373377121802,0.0161157420230412,0.01169153804495915,0.017879704664832408,0.01848213052841858,0.019641408911738135,0.018775583261305656,0.023089943067152466,0.023989330356658452,0.025379713468226834,0.021918270418525593,0.02523991554120288,0.02910366870633536,0.02864723397241708,0.024677108131428916,0.02889639299912108,0.03013822954095714,0.02891943279455009,0.026273383276527104,0.029043427692942988,0.028164425185216033,0.02733686593107735,0.026095364675542437,0.02847584594078572,0.11015474336544992,0.07864285111792023
"In many companies, a manager is seen as a",leadership,31,465,0.31179851133841535,0.42499348474666476,0.8457567929290235,0.000564452671591786,6.145176217112998e-05,0.006248371050928628,0.0001961219756031438,0.0033061074070629675,0.00025597493408922823,0.0022556832029232473,0.00044260685830558563,0.003613753358639232,0.000673319678019671,0.0024057310867481017,0.0008470651955629475,0.005070619718301988,0.001189729759685547,0.006199749091501014,0.0018751070207970195,0.006951941495249938,0.00263504308420861,0.007815691181071623,0.004824034995961681,0.007112563265134518,0.0052099768242146426,0.011890970163064715,0.005987740512039469,0.012117446457059467,0.00661527729367464,0.008986209109270336,0.006878639577647428,0.008022712140420052,0.0078083645757620005,0.008614250608886495,0.009006116600237564,0.010210960357533112,0.010036402305771236,0.018477806434555957,0.011031120412341312,0.02216984480681244,0.013458585327525167,0.022846544249096056,0.015572236758878468,0.015049672627622182,0.017178348428615545,0.014640363152557729,0.01874058619479065,0.021874730976565414,0.020672903654415136,0.022851039237714997,0.024368751196633235,0.028442801682700403,0.026222243593514792,0.02680906250258966,0.025635795283969413,0.03233461075438595,0.028509443638674404,0.028158359896965364,0.028318700129127305,0.033790582289516924,0.028280091439559903,0.030589928167880226,0.02854278522667205,0.03019469045176869,0.026120352953630934,0.027601386062430323,0.02653597469503332,0.11601685564020571,0.06253546660426826
