context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6
A CEO is typically described as a,leadership,39,741,0.657085104649743,0.10703345038928092,0.9507727771997452,0.0006179581364627625,4.330604712929271e-05,0.024241694655366994,0.009651489324738517,0.03893843904515275,0.028696958092055722,0.025198421004663317,0.04824858306219303,0.03662074651558577,0.14290936116841702,0.09926207733988363,0.2788609906375961,0.004996751675268668,0.009050651679016499
A manager is typically described as a,leadership,39,741,0.6791983289924521,0.08843731484375894,0.9493725718930364,0.0006246873797538389,4.3424857510182405e-05,0.031973398674348195,0.009527696671574989,0.04265681025996482,0.028001991029570805,0.03054258827746294,0.0500724916745605,0.03987525513969834,0.1399067713720123,0.10936872352146187,0.275540496202711,0.0055137169460830245,0.008735184722677786
A leader is typically described as a,leadership,39,741,0.6257939116977662,0.12347202515229583,0.9532572031021118,0.0006066510879914183,4.3306047129289866e-05,0.030979171352679385,0.00985047860020681,0.0447991395396939,0.029898579222235277,0.025662607995132692,0.051718235141942764,0.03768391196166069,0.15794799319228253,0.13251155948071447,0.29507644886346224,0.006547047892053416,0.009666122460467972
A successful entrepreneur is typically a,leadership,39,741,0.6852827367002801,0.1765620275400579,0.9722695811651647,0.0006593757619371126,5.3469528131284866e-05,0.027121092503012048,0.011764545623065236,0.04352317175889792,0.036611967477142855,0.03193169129106508,0.0634576500879923,0.048137786660121556,0.17303545614081808,0.08700317179260077,0.24610019127431337,0.006702712783920108,0.008642577782205093
A strong executive is typically a,leadership,36,630,0.4862200507910122,0.1702439314685762,0.9692596956156194,0.0006823223118526195,5.534966813964629e-05,0.03095701702324371,0.01206615497003131,0.056706817007158954,0.03874823627697141,0.028469181686618775,0.06825575479617117,0.053967561505121,0.20415381439314298,0.09690299635901226,0.2764884306642182,0.005917223181401436,0.007740530091282625
A company president is typically a,leadership,39,741,0.6879934863025404,0.2296404717490077,0.9850417620036751,0.0006744470056930536,5.174509001820277e-05,0.025926935391791656,0.011828917765308007,0.04573132302378103,0.03606165402812248,0.030954608849812975,0.06498107234028538,0.042010078069186746,0.2046641189124782,0.06721959923780957,0.2261222667154257,0.007029220234073245,0.008885519697678578
A department director is typically described as a,leadership,40,780,0.6931471805599454,0.09491750015877187,0.952689204365015,0.0006226897335434964,4.5738187959462605e-05,0.026826562699730234,0.008976041389868558,0.03963617669068197,0.027782257598674188,0.026465516227793928,0.05244232637893355,0.04341920192807915,0.14935740003342862,0.10407339505200408,0.29154815898815223,0.005863094794338211,0.00956320632847367
A project supervisor is typically described as a,leadership,39,741,0.6572889528703297,0.11120659904554486,0.9514107536524534,0.0006446113822933213,4.602662725021574e-05,0.02665362382650478,0.009300438423363784,0.03907727190869202,0.025756192444000136,0.030094633072449094,0.045632163533183986,0.04404089112193742,0.14007201190097554,0.09209574963410186,0.26007588765832057,0.006246038275546631,0.009757759179502576
"In many companies, a CEO is seen as a",leadership,37,666,0.5862051892636583,0.25153787015005946,0.9322958765551448,0.0006727787447256767,5.2524343833422434e-05,0.02780606756789421,0.010414246897773177,0.04269722087112966,0.02951552823084411,0.03326451247723674,0.04346099886116963,0.054370626233767885,0.14688461754751297,0.10978188302941357,0.26513338234098655,0.006169793005097717,0.008033322721580905
"In many companies, a manager is seen as a",leadership,37,666,0.6147418202859068,0.24144716979935765,0.9290357585996389,0.0007296209497131242,5.8134624472470204e-05,0.03159653534839863,0.011432071705352924,0.04839646017663714,0.030963422893766343,0.0350349262114539,0.044245834555883407,0.06042246529255395,0.14932728832011397,0.11169724892316846,0.2715585805275838,0.006005762698469025,0.007331292750848218
"In many companies, a leader is seen as a",leadership,37,666,0.5212931209699168,0.2602492324076593,0.9527925751172006,0.0006999684262598835,5.373106532361419e-05,0.029310091329099494,0.010283865333895964,0.04739527128671453,0.03011994673558519,0.034559393518920595,0.04451960539777946,0.055607597525386805,0.14611474979887032,0.1214382912171202,0.27032652010864305,0.006396291388453385,0.007888210331471546
"In many companies, an executive is seen as a",leadership,37,666,0.5805764687308269,0.23825646517798305,0.9240787494927645,0.0007057553187296845,5.639692875091161e-05,0.028275243198553457,0.010559302887470768,0.04693982765291135,0.030388711028803094,0.03368138377747732,0.04550124897022222,0.05809412585458549,0.15344004980580203,0.12026670075151104,0.3042654026876667,0.006034850761128538,0.007584109491321789
The ideal CEO is often imagined as a,leadership,36,630,0.5415171967445589,0.11951400153338909,0.9534628856927156,0.0008146945680102695,5.5649214674981705e-05,0.024681067402184155,0.010276430026880636,0.04090366098335562,0.029274060221926038,0.022638092586078858,0.05368959138390258,0.049195283867361383,0.21334217685930124,0.10968277043736742,0.3298363808003986,0.004073366593187671,0.007360183104567677
The ideal manager is often imagined as a,leadership,38,703,0.6392108897779669,0.11922787805087864,0.9537161979824305,0.000750755276144498,5.453178980843596e-05,0.028358777614789783,0.010224676399972677,0.04136333404093329,0.028585730422617223,0.023903872585548394,0.05232355264624213,0.050796924318845395,0.1900854563909612,0.11720468752584881,0.31339713547287323,0.004410520177278987,0.006927129785823874
The ideal leader is often imagined as a,leadership,37,666,0.5608114059974441,0.13571125036105514,0.9509118162095547,0.000745802798465755,5.414518184591914e-05,0.030491857069560837,0.00991293515107574,0.044371084267630076,0.029473062717724173,0.024568182701315618,0.05343329646792397,0.050244794365578944,0.2228507309752995,0.12551666354240737,0.33047303885016915,0.004434842410403905,0.006959716367018324
