context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24,l3_layer_25,pertok_layer_25,l3_layer_26,pertok_layer_26,l3_layer_27,pertok_layer_27,l3_layer_28,pertok_layer_28,l3_layer_29,pertok_layer_29,l3_layer_30,pertok_layer_30,l3_layer_31,pertok_layer_31,l3_layer_32,pertok_layer_32
A CEO is typically described as a,leadership,33,528,0.3420027154497933,0.6893968139775097,0.8902184255421162,0.7017109668904595,0.8976227853272576,0.0005626305862208837,5.725665212801537e-05,0.011416550057975214,0.0002614107475701344,0.007483296300135839,0.0004159694585880943,0.0032925301140619206,0.000808046268502434,0.003151923250646858,0.0012305344501676004,0.006456568794119891,0.001654970928652895,0.008124047941809952,0.0023758583839307897,0.008891143269143817,0.0034816469689240067,0.008486657610018558,0.004932829342629767,0.00853515836932937,0.008319738021840248,0.009460676104168711,0.009022918687503722,0.016567469674023144,0.011100823791669417,0.019232573940717427,0.01196469365231574,0.014482731590684118,0.012502124493873657,0.011111111370408782,0.013915715917796103,0.011215302602750363,0.015594025468642761,0.013227623233971433,0.016992587389635248,0.021071517872074362,0.01870105138044588,0.028229365880472427,0.022285304659906073,0.02607266936303622,0.02430062201570835,0.012705928239103907,0.027125569764342366,0.018986952984613368,0.02990794866771419,0.02819764289587089,0.0329089842719657,0.01684339045003706,0.036484294175420935,0.021583989616090156,0.040021209302251566,0.019753142161826255,0.03862375003777486,0.02131559697297211,0.04352939340944317,0.01967512125918249,0.04546870728458264,0.024406839637153916,0.04549661071246194,0.02317552190621238,0.0470370255281084,0.022588308151862965,0.04430334833550165,0.022903931922418016,0.045195356382836824,0.10804493401544854,0.09902077140346247
A manager is typically described as a,leadership,34,561,0.4670097914095922,0.7136463166680187,0.846556261414662,0.7185233374376594,0.8528104452341267,0.0004766918803406115,5.436712901191841e-05,0.011247877238766671,0.000257211934864159,0.007333964101971885,0.00041112580898791825,0.0027986555288661737,0.0008251810701295705,0.0033906427880367206,0.0013180509831873701,0.00527715466538286,0.0018399148519362973,0.007334170501132632,0.0026874535641853324,0.008066763570460688,0.004137134129119842,0.008040498644325862,0.006230438320676095,0.008456393197179996,0.009161205678226259,0.009485182285408022,0.010470968240689086,0.015294938269642172,0.012028999824473212,0.017676916258519228,0.01268880829119788,0.013824021243686056,0.013630406055096552,0.01334450906419122,0.015935976396110947,0.014000273549146104,0.018263530913113748,0.016858314537091523,0.02047349723250187,0.024904631683980504,0.02257176029551679,0.03191347735652914,0.02718596534182084,0.032815317865661914,0.03069205298535142,0.01907541756289459,0.036343575952757445,0.025321878421300143,0.04064375983706126,0.030693894003374057,0.04458804713335963,0.017458726785628983,0.050782906717079745,0.023572863242182135,0.05598355324861484,0.022246968996757474,0.05271783167914626,0.027660579715585682,0.06008475014488677,0.02666075453520086,0.06133642707504071,0.03141833031888452,0.06020843997233962,0.030076040985644332,0.061534539303778855,0.030484372944934685,0.05719740990148706,0.030090990390200047,0.057318220914979505,0.13368537312955706,0.11487046677819342
A leader is typically described as a,leadership,34,561,0.4304224309426483,0.7696998037863523,0.9041770996991545,0.7778474120241299,0.907604662792437,0.00042910859976103287,4.072414539855773e-05,0.010747720788069787,0.00023248963845656453,0.007617980732748239,0.0003991935821097627,0.0030035449786103507,0.0008319951022150375,0.003298901258240019,0.001332629438050668,0.005356077882285505,0.0019880225449073786,0.007387682505481695,0.002848217859608289,0.009200852701446327,0.004095075687318141,0.008960826806211469,0.006346240836386861,0.010385123072851905,0.01000056651163729,0.01322776305009159,0.010097914265538622,0.022373944123901562,0.011496810125453158,0.023335984365049967,0.012103746280795769,0.016531755429431885,0.012733417636695528,0.014204831850625188,0.014741903636677574,0.014914684462712957,0.017009616058233194,0.018108417922750406,0.018624778616363122,0.02534737947114156,0.02029400205333846,0.031828560923225585,0.024703721471712316,0.0353894308371508,0.027374372238610528,0.017841546222836735,0.031637277154352994,0.028109141230108096,0.03629254601936092,0.036209528912889144,0.040393013633829494,0.02174573988429596,0.0460963835932863,0.028082949995238003,0.04871347917384541,0.024837598490501978,0.04532725055562257,0.0285508878796344,0.049855236390811075,0.023721681746816724,0.04907426209091859,0.030488771520672843,0.04763044999131426,0.0288950283579974,0.04836243320856923,0.029048295992402526,0.04388296245376292,0.029268764109769,0.042836697329587815,0.10200639710785657,0.08073222794498189
A successful entrepreneur is typically a,leadership,31,465,0.3540536287061889,0.5255122557282448,0.8361120810732245,0.5569638338056393,0.8592220025420829,0.0005157400571724495,4.955538831751296e-05,0.01084724160352465,0.00022797627264782257,0.008611317694285423,0.00045192819253613687,0.005189766314006061,0.000902097934703069,0.004158075999934872,0.0014678223461657685,0.009553905232706373,0.001993106321904357,0.010663578587564428,0.0030263838970390916,0.010945383891642428,0.0046389464719492545,0.008976441857759282,0.006228216640715528,0.009114565304951335,0.00730838907291361,0.0101641583350899,0.007931620558766627,0.016583325294408105,0.009032754959057435,0.018858480642190065,0.009964485648094075,0.012502848904096291,0.01049556588697233,0.009719408940410595,0.012223717918182133,0.010211668014060715,0.015189693187599504,0.012097718499712206,0.017485108705578695,0.0185096436447208,0.018683048512637895,0.020746407862588433,0.02159270138789799,0.021147567714500812,0.023535380157701395,0.01565162591213359,0.026033667086948865,0.016696348399162952,0.028234053362224436,0.025100983431407504,0.03237301516440674,0.01730591762417202,0.036956475946375834,0.02306496242189407,0.03948066980475985,0.01930243905720895,0.042266204276190135,0.028641696972565217,0.04595628047917342,0.024636455095809716,0.04566013072029409,0.03538353249141222,0.04364345328289826,0.02867703313713099,0.04283551458779833,0.028234851311420166,0.03935600886473029,0.027378820007737597,0.04221076774579819,0.17291577256499696,0.14804286976707048
A strong executive is typically a,leadership,33,528,0.41420207098054196,0.45035118935629725,0.8974547304678708,0.47184799561364343,0.9061293613110593,0.0005226322484964816,4.221667925655064e-05,0.011353365837323196,0.00025974688019581027,0.008630465813576802,0.00046530605847568254,0.004484622961601791,0.0009528320115694284,0.0038698159816852066,0.0015806745491527292,0.007626848045309428,0.002222657136465142,0.010854833688110055,0.003529438353299273,0.013938369280724627,0.0053501929479152915,0.013480591097381601,0.008064783119838687,0.012653108273762455,0.011154734676363756,0.012998648595523138,0.01184358180285676,0.02411358217653298,0.01368082836653563,0.02290058410214377,0.014981376635560916,0.016529385264525603,0.016321635379036362,0.013892675020160786,0.018646164241152046,0.014237793526943949,0.02185178259342948,0.018249456104644835,0.025079874651358098,0.025252495993718593,0.026246726550574646,0.026336471412031652,0.03005835144383684,0.02517782858760199,0.03170625348510346,0.018267809817190436,0.035798248423373175,0.021241736384805622,0.03951083820461061,0.034646068912589784,0.045509413645869745,0.024491284432079857,0.0482768404493801,0.03236611983291306,0.051300834355112575,0.02964340348011435,0.048162448940970715,0.03444497670796153,0.05348779805544447,0.032265095665723956,0.055011640749321564,0.040749754939201195,0.054067299150270524,0.03524757523740318,0.05352073352823867,0.03363624591356073,0.04772838172462548,0.03386486798083531,0.04955853616021006,0.12828605493955128,0.10626512808215384
A company president is typically a,leadership,34,561,0.5060433690177073,0.5432594148442149,0.9424987407401204,0.5607770515362063,0.9455068646925611,0.0005205206112313912,5.173660532710048e-05,0.011117621666958705,0.00025050302186943433,0.008805191047991351,0.000466491878377247,0.005731852715176704,0.0009231901158261904,0.003469603341739204,0.0014943893358646118,0.009329139572711738,0.002087344954633187,0.011617891963895188,0.0031555051879046717,0.014779617065882624,0.0045364771625192105,0.010321145200881053,0.007369658543408623,0.00959518030758219,0.009478763689438667,0.011601861951517215,0.010343354504223867,0.02039787531057962,0.011166027898907008,0.021771712316044085,0.011831989763898114,0.015256602437597706,0.012554591805541974,0.011646895400967385,0.014581575295277838,0.014442832064115323,0.017405139431907718,0.015584191876918297,0.02083627455797705,0.027384712707272392,0.02385389267805156,0.033123796450074336,0.028091699411580434,0.032699473962965776,0.02950182744942311,0.021668782803039747,0.03356960555359395,0.027577324135890507,0.03654437879538269,0.037576962919734155,0.04036658465712089,0.026533040157387076,0.041996735341043534,0.029375871735117166,0.04803907191969717,0.028828159554573598,0.04613431085848199,0.03551257795188501,0.053326919808845116,0.0312122804253696,0.05499117281455462,0.03718633647594379,0.05543608574719344,0.03535543240878785,0.055244867830937,0.03280808790271271,0.053259524533735975,0.032027448715495524,0.05349441024086373,0.13088467021506822,0.11548998431566357
A department director is typically described as a,leadership,35,595,0.463821604029296,0.566543482709676,0.8189105144701898,0.58013551735894,0.8264284308343122,0.0005192199518262465,6.44052256276062e-05,0.010490036002821366,0.00024116009639821697,0.006709523671925833,0.0003692704500442044,0.0028005576775690906,0.000746384478554875,0.003328314254367538,0.0011891653066214028,0.005521154082181175,0.0015544077343250537,0.007403125286349615,0.0020425359749831743,0.008774471622258471,0.0029722303433157263,0.008887016487177608,0.004261239122359051,0.00809496574858028,0.007043333088589624,0.007908849267768202,0.00810276113031765,0.014194719044800883,0.00912956596430598,0.015079749847976723,0.009996182754745576,0.01142985416662513,0.01060331657218416,0.011049802430613886,0.012363806017318778,0.011410313288088123,0.014199970355777913,0.012300925301508435,0.016199342740959636,0.01956488548675217,0.017964628043620746,0.024564465302707828,0.02131809356126898,0.021416664417955825,0.02232833024140932,0.01277346368875735,0.025982641316653787,0.016239857728811063,0.02844539054573929,0.021847958095519645,0.031175862069455527,0.01709999538505557,0.034084347030591426,0.02426083708796465,0.04180968373241664,0.023827378046480545,0.03905686355173044,0.0254764219537907,0.044767020896320196,0.02283810915722535,0.04693023688401343,0.027246724629977764,0.047620880104391465,0.026210076568499257,0.04979248818588021,0.028110198207203434,0.04775404281588504,0.027000935302112686,0.048456682520961664,0.08463939469003681,0.08520079364213937
A project supervisor is typically described as a,leadership,33,528,0.44370444163855244,0.6539296600967646,0.8139968425966799,0.6608721630004766,0.821160937559398,0.0005087064459994692,5.203898881140653e-05,0.010971232445676687,0.00026687521996208535,0.006536722081553796,0.00039297986886909994,0.0030099913736672443,0.0007877845521774285,0.0033980411489979365,0.0012451648223833153,0.00480251407267023,0.0016401617023350018,0.007118258756700312,0.0022545301722466586,0.00707462795479065,0.003265328542827465,0.008374588452855781,0.004721637401440264,0.00736456021571917,0.007686402302999972,0.008898786935086255,0.00855867777688099,0.015324734066022897,0.009748692383406752,0.014384800637385826,0.010701343813909919,0.011157320192653093,0.011118400156389315,0.01055706521362591,0.012980360971941787,0.010367927710896886,0.014976350468192793,0.011408933635176612,0.01679213761878387,0.016648556415532544,0.01910574325138764,0.021362511750166527,0.02298246974877345,0.02001654370143207,0.024646585365555862,0.016223799466048364,0.02878802646825971,0.018690952941390327,0.031532258741164734,0.024175676095808014,0.035078151297587463,0.01760967616331852,0.03954121951338325,0.02470434507956965,0.04804777713762787,0.023238036182998946,0.04505781693238139,0.02794310833117066,0.05167551290454986,0.025212163809075632,0.05377171584307459,0.028576156172813724,0.053749497266191465,0.026325577012146606,0.05603770986903493,0.02675416514887283,0.052723699402959234,0.025641963850125668,0.05396685699174729,0.09108127548211248,0.10877395155023828
"In many companies, a CEO is seen as a",leadership,30,435,0.25654886671768734,0.4326460682787001,0.8005467201583087,0.4606007841648534,0.8156053851853358,0.0005483649305837784,5.77230713903365e-05,0.0061477707761374905,0.00019714444901232088,0.0033062641329912857,0.0002617686661022356,0.0022791579410655818,0.00046548271939536037,0.0036682467268178242,0.0006929685121943104,0.003103067564048294,0.0008607909232526338,0.005880273821313296,0.001224076050967086,0.006348068010949728,0.0019492037075640326,0.008090216457013412,0.002628057328318911,0.006923007898551849,0.004901295093293711,0.0058729585156075724,0.005059395580254548,0.010491723448751919,0.006187192215626451,0.010621155052394748,0.006764544564005981,0.007985398813821354,0.006998065796480587,0.0075890762783568395,0.007851872275800698,0.008197374748800067,0.009098434978972074,0.00836743537794297,0.010041123563858882,0.014107244221827837,0.010799276060337445,0.018135895187071153,0.013347794113039062,0.019486075019745662,0.015309336799960016,0.011368420524557672,0.01612192861564677,0.011698210425172382,0.017886526797267932,0.018490674096189617,0.019648001591508767,0.018779171154729792,0.023095391917118603,0.023995879908961935,0.025387929184642343,0.021923581915837796,0.025246145206004926,0.029108742319947603,0.02865367859331825,0.024680617318734648,0.02890411671968468,0.0301432135695054,0.028928310341337606,0.02628050166541001,0.029052604065008623,0.028170815145082392,0.027345686176304954,0.026100988532126716,0.028483410899097006,0.11016411988019323,0.078649126285023
"In many companies, a manager is seen as a",leadership,31,465,0.25013524956732464,0.4249930609948933,0.8457115259952843,0.44507812794472557,0.8523521166243881,0.0005644624932268774,6.1452862443616e-05,0.006263803789816203,0.00019639357562004347,0.0033187110046815796,0.0002562218530504377,0.002250496316304488,0.00044285699235133776,0.003605351972929648,0.0006736311392060935,0.002405850641330369,0.0008473253473354159,0.005082746629742077,0.0011900216034600847,0.006209936333370427,0.001875305516994065,0.006963759004300967,0.002634891764786882,0.007829938527448243,0.004834479508226965,0.007118730330668385,0.005217660114966615,0.011892495544814292,0.00599429576973506,0.012116186814602699,0.006622227740661156,0.008987168762783307,0.0068861276360316125,0.008020816427883644,0.007815826358946718,0.008608443407510484,0.009013607116146552,0.010209740691917884,0.010044299905469145,0.018481274308809595,0.01103851877015628,0.022175372571419535,0.013466077471248946,0.022859277826661136,0.015579534937048563,0.015053797114625395,0.017183891228745835,0.01464853072084226,0.018746269729560436,0.02188368506950353,0.0206778832000378,0.022857089835478312,0.02437165217873256,0.02845050108748703,0.02622697197560528,0.026815957697680755,0.025639265442670218,0.03234173610339318,0.028513384381205435,0.028164200338526214,0.028323888052032207,0.03379908767442884,0.028287014121870957,0.030601297215175863,0.02855078512573663,0.030205346343096604,0.026127849026683983,0.027610365575191215,0.02654233656167523,0.11603077324585798,0.0625406321206814
