context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24,l3_layer_25,pertok_layer_25,l3_layer_26,pertok_layer_26,l3_layer_27,pertok_layer_27,l3_layer_28,pertok_layer_28,l3_layer_29,pertok_layer_29,l3_layer_30,pertok_layer_30
A CEO is typically described as a,leadership,32,496,0.3428350480974955,0.5057294764555991,0.6507394509389997,0.5136610002864472,0.666445656621363,0.0011331420123243093,8.010996039671536e-05,0.004846274406339434,0.0003966253980024377,0.0030838192237528845,0.00045114616281972594,0.004471220375188999,0.0007960922281730794,0.0035738910166603515,0.0016003438858729832,0.0037589442636465674,0.0021662939600555833,0.004830107256642814,0.0031484904247627635,0.005161166846623298,0.0037834799722500437,0.0056269889567777415,0.004535260945571905,0.006299816924647224,0.005326045214831297,0.0068947077464287234,0.00557512869299176,0.007630103139326672,0.006076836649980637,0.008868137231571935,0.006938239053431515,0.01261747038397405,0.008925441534459216,0.016990222177048778,0.011109402086218172,0.009796127665962587,0.012261479552892023,0.011774528785106141,0.014659921624352167,0.009423343008412575,0.017562553760893985,0.009772700176331254,0.02027460713240391,0.01403427281229639,0.02359093381757868,0.017269119700163208,0.032997506318239306,0.015913268135558465,0.034714213375301506,0.017243251392927025,0.04013878981095881,0.023361433815480694,0.048752507187490635,0.026175638620348943,0.049222256487495536,0.021540486913148197,0.0414315322821545,0.0236880566682101,0.03950406166916559,0.0257915866974207,0.045707469110556675,0.03384844830750714,0.05313376650881803,0.03132299826372804,0.05428666983950259,0.1804238889268832,0.20153331459794685
A manager is typically described as a,leadership,34,561,0.41281699309878284,0.5319184120744467,0.6885745972394943,0.5449189242244756,0.7009776593949937,0.0011192762658372723,6.794632638016645e-05,0.0053884941083513225,0.00034242967276889316,0.003416638208564189,0.0004168502692762301,0.004696089973864751,0.0007565025035481105,0.00413520999117999,0.0014429755573278505,0.0039840369067901315,0.0020358550182255825,0.004664028012083767,0.002891912060956233,0.005227654640861989,0.003667853497741804,0.005085503222348091,0.004439675144332006,0.005602699404522527,0.004908465060926851,0.006544169742349708,0.005166461252497051,0.007501071937983275,0.005768553467874327,0.007678720618631754,0.006777343389722932,0.010817337207909358,0.008923680763938072,0.016384606826964875,0.011844974031112614,0.012061082310053501,0.013183573364926796,0.010562790572973846,0.01674425172829093,0.011244022844530228,0.020501301089572332,0.011285333185694593,0.023051063247491396,0.016081190405761725,0.027212659211635733,0.017738362792764844,0.03993005503269381,0.01516315296428433,0.042712131697978745,0.016344510935254665,0.04885956717873684,0.0231575083237201,0.05731268152663894,0.029184123379569004,0.056275238053421994,0.02962085970957927,0.04892068619145567,0.032267565317628276,0.046436938735599786,0.0352664942195977,0.05300779380614712,0.04213055300733336,0.05987524693308668,0.04007194930642459,0.05944256068739427,0.1979735487775748,0.20600654578367203
A leader is typically described as a,leadership,31,465,0.3852900705006257,0.5498334406875074,0.7367130960337818,0.5589214075862401,0.7505159026695765,0.0010473215465211985,5.785132974312651e-05,0.004681731717312289,0.00034922849244532,0.002905674166049868,0.00041875109927835114,0.004260140386488774,0.0007585374914537899,0.003937963613339318,0.0015176386248947312,0.0042427457053808414,0.0022057468319994313,0.005079403165829072,0.003286190628651277,0.005233850389153187,0.004017543137878004,0.005849114479003382,0.0048549016325598,0.006090449976078981,0.005446106406258572,0.007048168477531107,0.005597227663324295,0.00792179977893587,0.006117785083864696,0.009357227836368004,0.0072297123511247735,0.01415402936603366,0.009675339711027527,0.020192264536635435,0.012624393678185715,0.01236197029651555,0.01419632397466135,0.012283274147087275,0.017478382448930862,0.01170068896842942,0.02152303233681917,0.011732406251311042,0.024428429421374357,0.016128145707401252,0.0286991771854023,0.01758896257755548,0.04214594941707794,0.016592334965866738,0.04595019988050084,0.01773534320692566,0.05191001956838696,0.027137086918578364,0.06047979971049367,0.03303718279428399,0.06121746974986103,0.031146973228903415,0.05248393178797291,0.034904754768338514,0.048796427171071105,0.03677651099974861,0.05583037252014521,0.04324187367655675,0.06217414108716164,0.04014836562198789,0.061024948707162255,0.1792287094868144,0.19415424979783039
A successful entrepreneur is typically a,leadership,33,528,0.4201794649402313,0.5372818703763187,0.8052934831939638,0.5717495240314747,0.8302838012532447,0.0009873748865954373,4.77414909919257e-05,0.005421013513423184,0.0003572535363660914,0.0046397425808421535,0.00045958494592824087,0.005453851996797919,0.0008556501590464956,0.0036333724363279596,0.0016090326261275119,0.004365083050770437,0.0022186869307504126,0.0073385856907125496,0.0032734552864455047,0.00704425807560308,0.004105052439747314,0.0058213618319655075,0.004761519998193305,0.0060180220753432,0.005361068291278998,0.006590273850516141,0.005650878564869933,0.0067890760036407325,0.006475328745200889,0.007639962468872377,0.007672193100844939,0.009616522515352714,0.0096868933963782,0.01616873403774177,0.012594506596048115,0.010795396748439988,0.013436104905068134,0.009231390224929387,0.014862163062246952,0.011407006227804875,0.019062276118332663,0.010419036741721507,0.0218430187986849,0.016557147022771918,0.02608301091315366,0.01747724433848156,0.03835275187207754,0.013317921943272306,0.040027315237308965,0.013526881845291982,0.045447914696925745,0.025180751481402513,0.05982457284111366,0.030872634853512135,0.061689756460609924,0.02640914168500698,0.04989275569504204,0.030007736738894845,0.04909368751265706,0.030358201402150425,0.05388108658587438,0.04043232395046042,0.06075436572151623,0.03915662443165962,0.060502990302115964,0.21383406668667154,0.23397643431605983
A strong executive is typically a,leadership,34,561,0.563687188726744,0.381801906041801,0.976805531186983,0.39338018862372337,0.9776488384986699,0.0010974207980072159,6.610255111819608e-05,0.005692344464196776,0.0003756427947436985,0.004437855288571181,0.00045524603065138407,0.0063882801916401435,0.0008773892202056606,0.0056930905542110525,0.0015949622849042542,0.0046809005692254714,0.0022170552121336153,0.006731309644961856,0.0035285082903600256,0.006740619122166047,0.004435094026768675,0.006507675039394785,0.005426445786187976,0.006741975824389446,0.006608321376382179,0.007074919809559632,0.007004079285529576,0.007663079876680667,0.007757207912880606,0.008442489442208349,0.00923036083737763,0.010745421510736609,0.01158282271147113,0.02101754709464512,0.015958146501493957,0.014314004907729137,0.017676714915445736,0.010466876835120112,0.019837588754622014,0.014312415214223932,0.02538865499931639,0.01327910585282248,0.02929427000756218,0.02424356123676675,0.03551588245740057,0.022584880958009926,0.05060878723138091,0.019022365869616444,0.05577613959342016,0.020113179843886962,0.06310445298108969,0.03315937144843399,0.08297961892538253,0.04014330699934003,0.0862276106383496,0.03548013178743929,0.07122241527421506,0.038653936678820285,0.0683065809256292,0.041385171798495005,0.07687420374300317,0.04739087723059864,0.08687359314465903,0.046092005115028166,0.08501580731752233,0.2041493967657897,0.25109643536494336
A company president is typically a,leadership,35,595,0.43498365539143796,0.3265075897797942,0.8421765661332756,0.34744578763820755,0.8502542138539866,0.0009321156274175486,5.4163071989389774e-05,0.004494692349841696,0.000368854947193098,0.004103383709971951,0.000476838903744833,0.0059517562616212905,0.0009236852725439584,0.005010793011335152,0.0016077197313128146,0.005089817592824856,0.002197372708933844,0.006654634639151849,0.0033408451766231543,0.006575166000401984,0.004210643128637532,0.006761497111879958,0.004999967034248504,0.006951375636095735,0.005642125444625637,0.007419419875033598,0.005736763982537922,0.008238072380117346,0.006340945019674929,0.008997332853152955,0.007600201695108501,0.011769527179795243,0.009858885419212515,0.020053380493464917,0.013512649348175532,0.012061049005960967,0.014993437463410106,0.011660146352570318,0.017280485037526903,0.010928753526290493,0.021647184588621894,0.011711912408607677,0.02491656588695763,0.01713649086962421,0.030297494553601163,0.020002984858952,0.0422947448888367,0.017000806284017678,0.04337733911479036,0.017645076744090604,0.050372326944760216,0.02117674033462533,0.06053220779693628,0.025012153367306424,0.06312739750080151,0.02201530347447594,0.04939515677769841,0.02319861234703911,0.04676542775590694,0.025258700756773077,0.05390695389700051,0.029699010618047424,0.061120863562430294,0.027388123069440475,0.060771324129155514,0.14857354355796268,0.2018801618961236
A department director is typically described as a,leadership,33,528,0.3398331777017731,0.3517051860690117,0.7555056365672499,0.3656710546583781,0.7614802978350781,0.0012022903056331268,7.79597745248764e-05,0.0049903365187182955,0.00039033002269977575,0.0030236702733628454,0.0004337757673434816,0.003966729548149851,0.0007739724706829673,0.003773365185299484,0.0013473867236217761,0.0036959076380136706,0.001905095768200412,0.004901203713502085,0.002897251832069573,0.005151108448002627,0.0038298053293092677,0.005605479362772197,0.004562534207910959,0.0059734931224815924,0.005137535073677965,0.006241188810722056,0.005293847773232072,0.00676718313580357,0.005906334447882524,0.008165556498340311,0.006904859458879783,0.012202672460817847,0.008614245239655503,0.01775928156984443,0.010801416510673324,0.010284678897516228,0.011974326774351528,0.013197804664709722,0.014986168095735029,0.009670163580026352,0.01842357630963256,0.01051646320063942,0.022005952070238238,0.012324112796179926,0.025329683168968387,0.01451398323801418,0.037808031865132735,0.016092287584240802,0.04101161875739447,0.019186781685467176,0.04666037218512712,0.021840218121420455,0.055286828582390465,0.0288144666651067,0.05850736331461491,0.023774940461058595,0.04985682044974646,0.02498696011311866,0.047486945771927726,0.026083092933014883,0.05419535796833187,0.03646800517990658,0.06141865172074893,0.03151819947591251,0.060106541588189365,0.17804208912079217,0.18793847753442885
A project supervisor is typically described as a,leadership,33,528,0.3345140090422553,0.46699208207428455,0.706169961951673,0.4769243823748184,0.7150048790899746,0.0010636041454571287,5.7364521943136005e-05,0.005078863076707588,0.00033785310945641945,0.0033283964025185874,0.0003907295394838789,0.004539991659957118,0.0007286941482232698,0.004216816140562783,0.0013119536761153896,0.004283818880936586,0.0018321341577518422,0.005928869547615947,0.002691759724249762,0.005859985567573287,0.003703940183046633,0.00579292068002513,0.004424344635828848,0.0059221587787554215,0.004984751040533853,0.006247913661417143,0.005167296949702093,0.00683803437234929,0.005756729454308596,0.008280065093715434,0.006692935663627123,0.01072504616936268,0.008303364100404493,0.014337470119941333,0.010941932783608393,0.01312120562268429,0.012273797554832246,0.012115040199774324,0.014809446231902262,0.011353189280190327,0.017782142949199834,0.0117176321920092,0.02098563122358701,0.014782556996852384,0.024045005870358675,0.015751209962929297,0.03249100542780752,0.015336267063691898,0.03493886759055764,0.01813046722953671,0.04044724760036745,0.02312843727630697,0.050140153112456905,0.03080284966248487,0.05295197107805506,0.030548529975130197,0.04485552868121746,0.03274279956495856,0.044287295694425854,0.03584375631826636,0.04982270646384415,0.04186216059535003,0.056944201401677476,0.035711851580635674,0.05524633857967991,0.1542949437977109,0.1418163069885993
"In many companies, a CEO is seen as a",leadership,30,435,0.23586374632219465,0.3193404767662287,0.6523826154880226,0.3447047988884151,0.6882324080215767,0.0011568964518057973,6.590801561668543e-05,0.004106440975768814,0.00027499849229205563,0.0036313236623301726,0.00033583554898899786,0.003707306545198663,0.0005568294370908038,0.0035784091674566487,0.0011409928250354178,0.0036023229747995066,0.0014674730023623924,0.0047416431417342825,0.001996804579365789,0.0048464043220614195,0.002444659249670737,0.0050581226182052,0.002940507084155834,0.005480804713725076,0.0033020026715961494,0.005903013874138066,0.0037129970350167035,0.006038133076192277,0.004008124105495314,0.00702023335511734,0.004534415661564954,0.008521772880073957,0.005627244010235185,0.014881234177345482,0.006887553430104539,0.010193556465862303,0.007940024205656981,0.011871331019500683,0.009595573799209452,0.0067871791790557485,0.011361467147803162,0.007317700649929752,0.0131057743587411,0.012461820069471071,0.015637837638606576,0.01623916595033045,0.02126432864943384,0.013152099029320543,0.02269374401888327,0.01070412201682281,0.025713098686339305,0.020963222709622708,0.031039584692926284,0.024621832867552793,0.03174090760127495,0.021205576244329134,0.025569047142344738,0.022366302922995088,0.02464253761539846,0.02481248761237785,0.029370020465586198,0.03164913911144243,0.0331241835571754,0.02925268617191521,0.03385052223619224,0.1392308669748719,0.09773455902028465
"In many companies, a manager is seen as a",leadership,32,496,0.25477596117406826,0.30470172921195626,0.6195927639491856,0.3389087363248109,0.64126658719033,0.001115158012531873,5.409288730066561e-05,0.004045752666470815,0.0002360150488438656,0.003575393478156343,0.0002889283187873272,0.003852146484295766,0.0005001784885818941,0.0033593318047816633,0.0010943568039695484,0.0030593375737548285,0.0014234893477928431,0.00410849571665402,0.0018417557491744035,0.004117445537961555,0.00234653127579584,0.004230325906017608,0.002866231569460583,0.004670143488151314,0.00311161225605296,0.005756778146530028,0.003424021653279704,0.005901512957862649,0.0036377119076077408,0.005656733843785147,0.004169418063154896,0.007640366863624009,0.0051792589344002195,0.01468096531951509,0.006688849994229421,0.008317963788930046,0.00759815335520881,0.011798457765480974,0.00945328999294439,0.007515471208636912,0.011469106959505995,0.0074682884308129305,0.013056444956040098,0.011440822080035051,0.016028347740996752,0.014212328304606007,0.021628553714410984,0.012213515008222929,0.023502012019293764,0.011756287116309964,0.02730632802896447,0.020002364247354232,0.03188313278168713,0.02542534384138994,0.03312235990184928,0.024864642848351343,0.027962641935719738,0.025412016888751558,0.027554084311160226,0.027582318637684514,0.03195802797276921,0.032653409565813904,0.03532545853653597,0.03082430484326095,0.03544673434548826,0.1305478834235103,0.09586904644273561
