context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24,l3_layer_25,pertok_layer_25,l3_layer_26,pertok_layer_26,l3_layer_27,pertok_layer_27,l3_layer_28,pertok_layer_28,l3_layer_29,pertok_layer_29,l3_layer_30,pertok_layer_30
A CEO is typically described as a,leadership,32,496,0.41910077545008806,0.5057291113771498,0.6528338836506009,0.0011699747562676647,7.668302736718591e-05,0.005391722838888796,0.00040826462203571653,0.006050392563463678,0.0005410952252531132,0.006345837567376419,0.0010238580693464581,0.004601597083619728,0.0019370472424281651,0.0047603231680561405,0.002771379887034832,0.007070973024486513,0.004254676693123589,0.006891720687473833,0.005427533624528056,0.00586573766530037,0.006573487385369409,0.0068148012258234135,0.007457172553610357,0.008055749986656166,0.00798663410688448,0.007741671196203654,0.0086334045052858,0.008696256522231511,0.00977155648833192,0.010760224382509242,0.011919315362753452,0.014188795531826805,0.014134080274762657,0.011313149702247978,0.015594475214243304,0.010126895760464489,0.017865512708813203,0.013023843946439918,0.021240672721558603,0.01245219590432367,0.024092789174721206,0.02030357910709362,0.028351166700012028,0.02153615813722709,0.03829825487209981,0.01776334096484103,0.04097976612292055,0.01791954088975658,0.0468138950541483,0.023989760442725452,0.05687573788548243,0.028074575857671348,0.05828706236079005,0.025178803918930393,0.04883208166740623,0.026158355749220447,0.046576178171324145,0.02744334082509274,0.05309896066164689,0.03533212850016294,0.06109168097112831,0.03285277558178147,0.0628532600239245,0.17396843768935824,0.22863919522700996
A manager is typically described as a,leadership,34,561,0.43932948319278875,0.5319173883181065,0.7101034964434803,0.0012539114279636993,7.241816136818246e-05,0.00655253915313012,0.0003895151634257374,0.006630804822885943,0.0005190977407691105,0.006194549160458622,0.000970933054087023,0.006360046193093284,0.001648373666292391,0.005485875935831964,0.002421779437074014,0.00794529929572804,0.0036252129885147913,0.007911173605288414,0.004839998641753947,0.006419498672127125,0.0059257934147467625,0.0074736796219854644,0.006506203534560658,0.00957692638238226,0.00695965663263264,0.011020288680294225,0.007692578529899545,0.01074422094830705,0.00887638858063342,0.010367119361892066,0.010971300654794194,0.01274016896796217,0.013669721400128405,0.016435956627066744,0.015386594814277066,0.010662727308105734,0.018694461005215126,0.015123852795953104,0.022289900477266037,0.015487418740647785,0.024928295226523556,0.021827305173843473,0.02898953225770433,0.021726304789477565,0.041735836029694426,0.01600088217042027,0.04458363465401722,0.016029826027669905,0.05036291179329009,0.023435106181769284,0.05825556633400355,0.030074107613783325,0.05735383692182128,0.03037179790721507,0.05019852994752255,0.032417673867617396,0.04743243517940221,0.0356464319507781,0.05382385222571456,0.04304306071760921,0.06072948630465939,0.04073071030288339,0.06115472470038239,0.20629415210830573,0.22752499490986153
A leader is typically described as a,leadership,32,496,0.4675326060710992,0.5498339754994959,0.7627469967119396,0.0010420351044812507,5.862852250834022e-05,0.005574411575213831,0.0003978726403345255,0.006022339080726739,0.0005637676350796449,0.006036306091350182,0.001021391628842929,0.006132057810504188,0.001812093200370058,0.0052396994838818265,0.0028383675667401145,0.00726719847301502,0.004545040851146702,0.006518221706989263,0.005748074117612641,0.007399957964094451,0.007009904483901173,0.007592892393363413,0.007788846113632571,0.009543043458169736,0.008116332299012142,0.010054505399035947,0.008754870996780097,0.010886889394801869,0.010258532704747435,0.012275914273578587,0.012744196434885273,0.016627261705117087,0.01552001662310478,0.015042689806201544,0.01753796290589659,0.012349295003018129,0.02068666543605149,0.017205023463302407,0.025296608598495206,0.01616435384666222,0.028457751385037,0.02404001820669759,0.03349373114340589,0.022600272713845602,0.04709112170186581,0.020058583535961846,0.051662367695104475,0.018650983416829345,0.057643895987198004,0.028284711411699148,0.06735891545364693,0.03480786679494179,0.06865143568580699,0.029323647847525357,0.057754189178335816,0.0330928546856363,0.05373491356894836,0.035777512872183455,0.06125884869272369,0.042954362971426116,0.067964244787968,0.04028610807725337,0.06719892469528554,0.18041877602990136,0.21439547163297268
A successful entrepreneur is typically a,leadership,33,528,0.5619879528831736,0.5372816524468362,0.8101955284364522,0.001058579013161574,5.881619213722558e-05,0.006229950652455984,0.00042436051828353635,0.008786113179625736,0.0006407669479396759,0.00740918734090758,0.0012347424466981186,0.006004306131833592,0.002081664328094363,0.007266927594155081,0.002787710439445563,0.011747075636608133,0.004136640659309985,0.010485660415503034,0.005221705586093388,0.007626886427717495,0.006105100675038619,0.008379416128253924,0.006945334389468844,0.009851641439082185,0.007374741377403581,0.009442726929712243,0.008337500446479844,0.011098845928475513,0.009913116037490701,0.011003071752307582,0.011918808328934728,0.012034245989676399,0.014471873915779811,0.013956251025378843,0.015556086672536842,0.011474215316662664,0.01687209941270094,0.016039357331959242,0.021012288273004994,0.015327173876122473,0.023922224248404917,0.024183270109350327,0.028833071681302728,0.023878014309810493,0.0412998114112078,0.015864058201869664,0.04280227426241587,0.014545347977460136,0.04902061520209611,0.02629892684231354,0.06371354444198675,0.03223422587868069,0.06469811187530555,0.027778951941645987,0.052173697336558175,0.03184727628302718,0.05131469045534636,0.03235651498203669,0.0559209469285777,0.04146031551470182,0.062497078126191645,0.04006390817796542,0.0626324266440417,0.21291650852063126,0.25238991502426805
A strong executive is typically a,leadership,34,561,0.5935603726173486,0.3818027190864086,0.9724732278846204,0.001093645675351206,6.121915892882886e-05,0.006342448310025756,0.00044199666956313047,0.008188692209705554,0.0006464472940501284,0.008147316177138332,0.0012667805122767994,0.008866892904994903,0.00209199136057965,0.007909687441301888,0.002970747221814533,0.010485522676128695,0.004973902110021522,0.00874874791136645,0.006374941199802662,0.008151462721102799,0.007741181382452448,0.008214691534484527,0.009245267971073634,0.010104858180541892,0.010009528367049315,0.010571214961864894,0.010830349870848629,0.011040440686060908,0.012670106497961572,0.012050654249867449,0.015330487643411909,0.017478815363611778,0.01928679139693185,0.019172035925224273,0.021389132792219077,0.011333335067633465,0.023375619022335876,0.01848325786817206,0.029070399974344706,0.017601087100712846,0.033052911174002525,0.031397694955228095,0.040163866694930495,0.02734998821503574,0.055727999603225574,0.021695817225399677,0.060846742907194266,0.020467812256266617,0.06894963126835014,0.03221763702002646,0.08967568472047939,0.03829454514499282,0.09321552059191278,0.03376901832135181,0.07636827638085676,0.036045562629728654,0.07370864022341456,0.03840067016433677,0.08263128122602224,0.044392601060231365,0.09302793488498969,0.04319413998602119,0.09194764727984563,0.18951897755266048,0.2672501830149159
A company president is typically a,leadership,35,595,0.48795536157204766,0.32650757720693946,0.8380133893806487,0.001052631305141452,5.803417172264767e-05,0.005072525277879045,0.00040980238167838136,0.007154062096338101,0.0006343947707121465,0.007206640577598894,0.0012746002270959313,0.007047838810991441,0.0020226432934595967,0.007677442842249118,0.0028443887020086172,0.010149965136636248,0.004349360764864895,0.008862370297320279,0.0056757973786430325,0.007921368895346026,0.0068751666448742645,0.008298188208314869,0.007655550790220331,0.008660476484723685,0.007980602288610385,0.009291146410017156,0.00854717962835095,0.010442832901325895,0.010082801638838177,0.011321062959041457,0.012431389671225026,0.016112698842581912,0.016021244101335357,0.015647581927458645,0.017870488824903982,0.01166944669447892,0.019820012048909107,0.014792138014533942,0.02409681207155403,0.014667232682364088,0.02731985111766191,0.02310462181326484,0.03294791552145095,0.025848957813557807,0.044775528370488614,0.017966027056315406,0.04510670321538548,0.017480335140860302,0.051870703409611814,0.02202981982019115,0.06268673928497748,0.026042799195142925,0.06571420110714646,0.02210562340532492,0.0515245112697014,0.02338935995822862,0.04866055301394728,0.02505245941910433,0.055365293688178475,0.030651516791015233,0.06252444795753942,0.028242626859134097,0.06268857676489553,0.15210492853847773,0.21021841288803975
A department director is typically described as a,leadership,34,561,0.4400380793210244,0.35170508548617363,0.8439705143682659,0.0012776587330205526,7.507081089241592e-05,0.005835655900875472,0.0004120214466096065,0.006118916435160377,0.0005271697809142358,0.005541114820465305,0.000980715882132437,0.005878091533788485,0.001590587742645549,0.006151618650767273,0.0023910274235866068,0.007612180744217004,0.0038090564711410805,0.007214198748874143,0.005171943696305627,0.0065247842241237496,0.0061676328819473825,0.007580319704555354,0.006891246291407615,0.008353621883014762,0.007267142970077036,0.00847197764291917,0.00798017168238701,0.009630141281553442,0.009192462768120413,0.01115572263451276,0.010986332289969395,0.014107127184712909,0.01291623843052098,0.012941370674286915,0.014286661364937732,0.010402789728853444,0.016890857128517088,0.011483706914642726,0.020018606475868804,0.011577876347999887,0.023478148392024487,0.016697484834650715,0.026674201486095443,0.01751893673984979,0.03837401202949995,0.01597064968761006,0.042038682219761876,0.01791990790620221,0.048459713950260316,0.0214932468886429,0.058312106617720835,0.03038503296402269,0.0622539410012922,0.026060863272730033,0.05307785130817641,0.028115386551649964,0.05022558390019583,0.029209596710515883,0.05734929590147176,0.04140004744638022,0.06460308997681713,0.035920296679356666,0.06387462022329529,0.18843557549263407,0.20835447827896125
A project supervisor is typically described as a,leadership,33,528,0.42169256761001894,0.4669928648509085,0.8597317256499082,0.001271549984208154,7.019500991981935e-05,0.006663230358500898,0.00038376456743119993,0.006612071052375532,0.0005005132134765466,0.0059219579592395735,0.0009494117055076567,0.006287452771510035,0.0015488090144794996,0.0066144627004022915,0.0022643328029832792,0.009527756904070093,0.003320544183703375,0.00852729651403278,0.004733373755406285,0.006507083728016611,0.005585743117489215,0.007209044708038703,0.006195606491353712,0.008315364777915033,0.006633645056136674,0.00915499224287764,0.007394035987997708,0.010926105428705098,0.00846042079915045,0.011044290356188204,0.009923419225116458,0.011278267878500305,0.012196507665515428,0.01756563468379337,0.01389714578369558,0.011309783470520444,0.015945151922610753,0.01468397951910345,0.0188454576260632,0.015793208595833934,0.022200360880668474,0.02051117151319179,0.024975158770815874,0.020315403799931853,0.0329701394470549,0.016928313088943034,0.03520371175617509,0.01778823167882765,0.0414093142194224,0.024901914385134574,0.051806524943236384,0.035049144124258705,0.05461446774487888,0.03375710417501946,0.04648577563222929,0.035992558061049104,0.0456248794857127,0.03778857653371332,0.05123771238983374,0.044733838569906106,0.05802454031349682,0.03835218147102571,0.05662796874382308,0.1585408885344258,0.15044328816486605
"In many companies, a CEO is seen as a",leadership,31,465,0.38685331956085134,0.31934084417298436,0.7195590995252132,0.001244804906451073,6.856308850971925e-05,0.005221561364549787,0.0002953413153267101,0.0064072888117191135,0.0003899410878534318,0.005202937565117486,0.0006859756228602884,0.0037698005998721374,0.001286846734733689,0.0038161458493696054,0.0017162895800787376,0.0067390209658442154,0.0024937735746932664,0.006157318155991621,0.003111503542708938,0.005265325001601612,0.0036377231909931382,0.005464362493676228,0.004032376109022378,0.006732696944949372,0.00469950105288363,0.006134973746660791,0.00503857458105724,0.006775259328138734,0.005711665273355928,0.008065320934729607,0.006893363302213526,0.011737926235437086,0.007903788435202574,0.008038648319425168,0.009023667138275364,0.008985519580176207,0.010771137530511702,0.00800034721078309,0.012407874817402976,0.009175240259443815,0.014378891066977532,0.014708656423667879,0.016920462922256626,0.018277003266933437,0.022462874870395146,0.014174616239501473,0.02344680174209052,0.01107137002238766,0.026302392847053664,0.018926966950375067,0.03148765830028894,0.022990097204124205,0.032441185244427684,0.020888039214436247,0.02641696493929601,0.021838526551356905,0.025222231894783165,0.024098337828891436,0.029673574468630955,0.031260561523311525,0.03278917395351235,0.028492915643049694,0.033329662990452424,0.13667455313628538,0.09543295465642837
"In many companies, a manager is seen as a",leadership,32,496,0.3957549233954671,0.30470184655860066,0.6794311869889498,0.0011038588086070681,6.076720177095041e-05,0.005354764275816937,0.0002960718003502741,0.0064183438856189315,0.0003775879094599366,0.005369793259409593,0.000657880546643879,0.0034569575438360197,0.0012522929740772515,0.003572707860457613,0.0016850720088313412,0.0068185661893115325,0.0023891042961800835,0.005773887628192377,0.003167347952302623,0.004881911616154749,0.0037580453112295922,0.005384880316469854,0.004018385480987076,0.007675402295367372,0.004597462757853766,0.007779835720906784,0.00484277269343519,0.007089302999530438,0.0055287008028160264,0.008132523719092203,0.006638430619840298,0.010822215672393047,0.007741657669417184,0.007702459313503795,0.008663757118075925,0.008405839333490716,0.010623695659367619,0.00880880606478173,0.012357193925591634,0.009779863770399726,0.014158126018838983,0.0148870350649526,0.017166215235663324,0.018181525701195897,0.022881408729052193,0.014583702528583063,0.024022446834926867,0.012185235963109699,0.027383807293258886,0.01873670934636132,0.031693300316274334,0.024707486930735767,0.03283636745859421,0.02456300394067226,0.028582006600032853,0.025511251168781068,0.02752834586374254,0.027365657838341367,0.03178100401126363,0.03274930243329982,0.034518772825806954,0.031048047078420585,0.03450176229002793,0.14080532731214807,0.09397781646866334
