context,family,shared_vocab_size,n_pairs,l2,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,35,595,0.49129869716015095,5.374305388506721e-05,1.0638577597481864e-05,0.0010379261329394429,0.00022905894688197544,0.0008606989844506529,0.0002374563898359026,0.0004900809095687225,0.0004962614604404994,0.000766984054020473,0.00042973075594220843,0.0008609034434086134,0.0006332738058907646,0.0009026179794503861,0.0011158244950430734,0.000840775906538763,0.0009610142026628767,0.0008343771726143461,0.002536487579345703,0.0012790507629138082,0.0024724704878670827,0.0035457523930974367,0.006461421080998012,0.007470263252739145,0.014600438731057304,0.05995190053426919,0.1908914157322475
A manager is typically described as a,leadership,34,561,0.429312582917012,5.7950589321088876e-05,9.752371731926414e-06,0.001008760376622545,0.00023003360804389506,0.0008509771071653316,0.00023221443681155935,0.0004726718453799977,0.0004774752785177792,0.0007276157856837526,0.0004101009929881376,0.0008059048397655793,0.0006149814409368179,0.0009026291536137382,0.0010562030708088593,0.0008540567867258653,0.0009608952438130098,0.0008033905012297332,0.0028874663745655734,0.0014178107979038394,0.00263822779935949,0.004204214681703564,0.007424545638701495,0.008506984421701141,0.016545227345298317,0.0731101801848029,0.23538656269802766
A leader is typically described as a,leadership,35,595,0.38816953056953923,5.8827780875839106e-05,9.65254647391183e-06,0.0011757242579420073,0.00023377452577863421,0.0008991358660850204,0.00022677864347185408,0.0004926500200223522,0.0004700456346784319,0.0007736932329770898,0.00041111877986363003,0.0008210954545926647,0.0006010123661586217,0.0008985895068705583,0.0009959663663591657,0.0008658186728213014,0.000928248677934919,0.0008006180033964269,0.0029529690742492675,0.0013351321220397949,0.0026499237333025252,0.0035619103608011196,0.007450144631522043,0.007649896425359389,0.01677697386060442,0.07772122391131746,0.23553668771471295
A successful entrepreneur is typically a,leadership,33,528,0.4128674603316547,6.019233754186919e-05,1.058433995102391e-05,0.0011937259273095565,0.00021682002327658913,0.0010444437238303099,0.0002412091601978649,0.000585165439230023,0.0004723920966639663,0.0009094992596091646,0.0004034150730479847,0.0011322655235276077,0.0006733301914099491,0.0011212790779995196,0.0012290640310807662,0.00098043702768557,0.0009698398185498787,0.0010545381316632936,0.0029408805298082757,0.0016612821456157799,0.0024258548563176937,0.00474258331638394,0.006200766924655799,0.009233456217881405,0.013093325224789705,0.04980668583602616,0.1687426711573745
A strong executive is typically a,leadership,33,528,0.33344129023270225,5.906380035660484e-05,9.861859408291904e-06,0.001139159229668704,0.00021865693005648527,0.0010276405197201352,0.0002446897102124763,0.0006311718713153492,0.0004762176311377323,0.0009997767029386578,0.00045917431513468426,0.0011447135246161258,0.0007389061378710197,0.0012346685610034249,0.0014454361164208615,0.0010995859223784823,0.0012260530934189305,0.001203950381640232,0.003892203172047933,0.0018445184510765653,0.003397298581672437,0.004243348584030614,0.008510571537595806,0.0075552069553823185,0.01824689453298395,0.05921397933905775,0.2585245903694268
A company president is typically a,leadership,34,561,0.3795881035115691,6.167263908182236e-05,1.073760144850787e-05,0.0012334671250001632,0.00021668216761420756,0.0010950620586646857,0.00025792156948762783,0.0006065130658753203,0.0005580607582541073,0.0009142889271020465,0.00047063476899090936,0.0011089367662521607,0.0007493513471939985,0.0011348287689494578,0.0013194066636702593,0.0009996314099765717,0.0010464962790994084,0.001016244318821001,0.003226455520181095,0.0015616970478744643,0.0025048220858854406,0.00459991451253228,0.006753872422611012,0.00963896470486374,0.014743473599938786,0.04904216527938843,0.1677565609707552
A department director is typically described as a,leadership,35,595,0.501982888382304,5.651612241728967e-05,1.0335445404052735e-05,0.0012092273776270763,0.0002530881336757115,0.0008423943479521935,0.00024260112217494418,0.00046883931680887685,0.0005449141774858747,0.0007519445499452222,0.0004465205328805106,0.000759735528160544,0.0006613782473972866,0.0007911582954791414,0.0011350342205592564,0.0007787505117785029,0.0009644900049482073,0.0007565192815636386,0.00273972749710083,0.0012184092978469465,0.002488393442971366,0.0034670491178496543,0.0065397977828979496,0.006865591261567188,0.014904422419411796,0.06677350056271593,0.18478651557649886
A project supervisor is typically described as a,leadership,35,595,0.5218882246872666,5.828883467602129e-05,1.0023798261369978e-05,0.0010582982992925563,0.00024042810712541853,0.000893228394644601,0.00023481334958757672,0.0004808083301832696,0.0004980342728751046,0.000716150608383307,0.00043091603687831333,0.000770210418380609,0.0006287728037152971,0.0008144538943507091,0.0010224597794669015,0.0007882939667260947,0.0008950029100690569,0.0007282451421272855,0.0027473398617335726,0.0012105916728492544,0.002388467107500349,0.0033472070173055186,0.006114554405212402,0.007414611047055541,0.013555942262922014,0.06877937767685963,0.1606255326952253
"In many companies, a CEO is seen as a",leadership,33,528,0.31355112869080026,5.1770472165310025e-05,7.956316976836234e-06,0.0013355281994198308,0.00022679567337036133,0.0010129190755612922,0.0002395131371238015,0.0005525203816818469,0.0006016528967655066,0.0008519164314775755,0.0005135463945793383,0.0009734799916093999,0.0006972515221798059,0.000994642914244623,0.0011684316577333393,0.0008322772654620084,0.0008630192641055945,0.0008692761713808233,0.001979575012669419,0.0011951116224129994,0.0018412922367905126,0.003536806752284368,0.005109577467947295,0.0065206972261269884,0.011218367200909239,0.044211417097936974,0.1291767990950382
"In many companies, a manager is seen as a",leadership,33,528,0.2827568570685458,5.914022525151571e-05,8.958758729876894e-06,0.0013708606588118005,0.00022514661153157553,0.0010351722664905317,0.00024261438485347864,0.0005518337993910818,0.000618139902750651,0.0008557394824244759,0.0005019198764454235,0.0009566321969032288,0.0006808873378869259,0.0009924802138949885,0.001107972679716168,0.0008584467524831945,0.0008453582272385106,0.0009280677997704709,0.0022164167779864688,0.0012317034557010188,0.0019412167144544196,0.003443242812698538,0.005673739043149081,0.006736044405084668,0.012690650694298021,0.04996008699703397,0.1533451062260252
