context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6
A CEO is typically described as a,leadership,39,741,0.45167879009438155,0.1070278505794704,0.9391053095459938,0.12058116465050261,0.9393983131228651,0.0005954914478387776,4.418738513434502e-05,0.012264592135878636,0.012239722996313663,0.03491120694602395,0.03445868295759826,0.02765241764523485,0.054240508677866256,0.03897736256383151,0.1722222209502137,0.10904184982874272,0.18834750327464642,0.0042889009186065415,0.007029107776306615
A manager is typically described as a,leadership,39,741,0.47358916654832883,0.0884396939072758,0.9550045221112669,0.09592393968341639,0.955202909660386,0.0005584758899314931,4.3429666114520476e-05,0.02320458432190443,0.012424404238486501,0.04288336993942339,0.03398244041942053,0.035646252803789275,0.05491600230983099,0.04135157722499376,0.16698748459840276,0.10169994549292376,0.18521256471377046,0.004066594157225858,0.006797665954475427
A leader is typically described as a,leadership,39,741,0.5018730987504127,0.1234692302532494,0.9480050150305033,0.13003370812293724,0.9483057464062767,0.0005710812915639017,4.342966611451763e-05,0.01825209342892391,0.012422288310998772,0.0418105850697074,0.03548181022540343,0.028067149347703914,0.056853675787885936,0.04408673749542417,0.17693738319147537,0.12142885855972423,0.20274616577363833,0.004704833954827879,0.007127251624299855
A successful entrepreneur is typically a,leadership,39,741,0.49097283007840425,0.17656907951459289,0.9609445568639785,0.1989985132968286,0.9613992331020711,0.000666866163792104,5.234048842311222e-05,0.01732266451628896,0.013135893519580435,0.04711290814059401,0.04008801387482388,0.03500876811908393,0.06754631597651765,0.04370617864598257,0.1993205903836941,0.12593663164437585,0.23949915841415703,0.008639082929989125,0.009542466054900816
A strong executive is typically a,leadership,36,630,0.43376411162845374,0.17024145228788257,0.9661731761880219,0.18334341871377546,0.9665489202894548,0.0006311141250780291,5.6785512680879784e-05,0.01584256384065604,0.013106565743916561,0.05041307205280826,0.038608635668341273,0.02272454266535471,0.06916315738269992,0.041951547934275045,0.19151491773108675,0.11919797952224023,0.234080551475803,0.007359573380382671,0.007883459278791147
A company president is typically a,leadership,39,741,0.5566982623735621,0.2296635308302939,0.9816400036215782,0.24613301497015527,0.9819408671869745,0.0006048805430763797,5.4232738327713995e-05,0.011869518550988136,0.013388468588168898,0.03675943335754803,0.03937761563232833,0.03066774514311311,0.06644219555106219,0.04014004841239961,0.19922425555712303,0.12615787272164958,0.24002799661038737,0.008109144832866268,0.009237870855770639
A department director is typically described as a,leadership,40,780,0.5351137883979002,0.09494683030061424,0.9588715694844723,0.10216293158964618,0.9592002616256536,0.0005677072138767949,4.5306640051681614e-05,0.01866654590341265,0.011682821731569296,0.03672229137365437,0.032903604482174775,0.02639719368271084,0.05571179951641555,0.04049227628620576,0.18348439500644004,0.09961856090420124,0.17843396971737815,0.004584696762399135,0.007425093339706701
A project supervisor is typically described as a,leadership,39,741,0.3874591662179471,0.11119986022822559,0.9609839301556349,0.12108588885348581,0.9614365064948629,0.0005761851116223215,4.64683487709555e-05,0.023071083722434996,0.012628925031108223,0.04049698924637981,0.03203106534866494,0.0332672318009475,0.05162369807968582,0.04573655574124086,0.17202542006865185,0.09775964950382159,0.17273648531299066,0.005405312881442083,0.007529485172256902
"In many companies, a CEO is seen as a",leadership,37,666,0.4640367315746818,0.25155660789459944,0.913055369630456,0.269769781071318,0.9180823652523031,0.0006791778976863797,5.593058301209039e-05,0.01875936452414363,0.010737273536912069,0.03286689401350419,0.03190069249681271,0.03319210586287201,0.04770953286411431,0.03886330663313951,0.12430429069577976,0.12424486750397466,0.19540657074739456,0.0056160788796851,0.007426005462534972
"In many companies, a manager is seen as a",leadership,36,630,0.43959053245276986,0.24144318886101246,0.9123261920176446,0.2527329936888236,0.9240410699412678,0.0007445992407764873,5.8443140168396024e-05,0.020052103885519607,0.011753885498499447,0.035751749852854814,0.0333515300752254,0.036377212029573606,0.04715153311314882,0.0465536894592491,0.12043879911463755,0.13466076933034452,0.21305653830537302,0.0048548186561325046,0.006853860897471812
"In many companies, a leader is seen as a",leadership,36,630,0.42979184516925034,0.26025126269087195,0.9363504098728299,0.26702387598265886,0.938852706421585,0.0007272052798132597,5.2549231507545117e-05,0.015733007257633623,0.010851235140807389,0.027880598289228425,0.03376838286842219,0.032274036805391294,0.04618527749746845,0.043749526541281995,0.11831912179040723,0.1325896180813517,0.217329735127517,0.004376589897305539,0.0068789172941804795
"In many companies, an executive is seen as a",leadership,36,630,0.45142418382527305,0.2382482779212296,0.9145577047020197,0.2467834630751895,0.9280315079465709,0.0007437833621012426,5.786865217746431e-05,0.01861027450636533,0.011048713268940306,0.03747205143044069,0.03252667547453476,0.03654375224502187,0.047982231188512456,0.04436700712440743,0.12411481972770809,0.11615573015453015,0.20747377361685912,0.005320817382365574,0.007419978674171817
The ideal CEO is often imagined as a,leadership,36,630,0.3776655379276685,0.11951503157615662,0.9677599780261517,0.1300755835036398,0.969632914010333,0.0007376373631906606,5.288323544583615e-05,0.013801914458839328,0.012472193724700245,0.035203275771738644,0.03121839004324372,0.02122943011376428,0.05132712419561106,0.03824263723304492,0.15735734386843578,0.11406219549809729,0.22377311302830213,0.00398799406719664,0.0069028588760136405
The ideal manager is often imagined as a,leadership,38,703,0.39056680980483344,0.11923819407820702,0.9731168001890182,0.13528638435309404,0.9749956073026453,0.000689483400871692,5.321855525396961e-05,0.021949210387126265,0.013089422610291966,0.03883786311914768,0.031278810920542306,0.023510968763435315,0.04982751962907641,0.0426397712756038,0.14938157874191932,0.1240535449924374,0.2259373877317787,0.004348925462234898,0.006603774763018751
The ideal leader is often imagined as a,leadership,37,666,0.3697351134621232,0.13571631768718362,0.9720977642573416,0.1456214128047577,0.9736972456732929,0.0006629017895102062,5.14539588121559e-05,0.018450224063358858,0.011911904509138642,0.03802770397727736,0.031006154079569803,0.022723596929660857,0.04998834713892386,0.03853202452134092,0.16179205627681356,0.142382458592665,0.24120814932457968,0.004176825584621506,0.006538350443451419
The ideal executive is often imagined as a,leadership,38,703,0.39738728558688186,0.09324975218623877,0.9751497255638242,0.1072980531534995,0.9766326431224002,0.0006747935238359751,5.321855525397253e-05,0.02080901361000474,0.012497338321423596,0.04111269145725529,0.030867546827652716,0.019942323508354644,0.04963464355243905,0.0322617197018547,0.16736283727332515,0.1103537239713013,0.23038836615445638,0.004510554067890286,0.006996394785614932
Most people assume a CEO is a,leadership,36,630,0.4725472834985489,0.20912446593865752,0.9925813106819987,0.22391841057333295,0.9929906864484757,0.0005875058498759476,5.488210653016116e-05,0.015092013791032704,0.013357832229892877,0.04128164344865305,0.040812150519881296,0.041540199314074426,0.06680461785767851,0.064475428412291,0.16545092374553885,0.15995162703288368,0.27409682566499416,0.010388596014462455,0.01097272869052403
