context,family,shared_vocab_size,n_pairs,l2,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,leadership,36,630,0.49204290956695695,0.0006709414324076432,6.146563424004448e-05,0.023035667085694888,0.016500395205285814,0.03281303554300278,0.04333004355430603,0.03261044214642237,0.06091579298178355,0.044462487716523426,0.10862080587281121,0.042096351016135444,0.11714378496011098,0.06348074445175746,0.14271509812937844,0.04984872047863309,0.22180524633990395,0.074278357341176,0.22467276619540322,0.058375764981148735,0.2619533936182658,0.09446499423375206,0.31971821354495156,0.1053974596753953,0.3922538227505154,0.003204708629184299,0.008075543575816684
A manager is typically described as a,leadership,36,630,0.5143306510749008,0.0006917478283520765,6.0546729299757215e-05,0.03114703977037044,0.018600460555818345,0.03461448077171568,0.045551099710994296,0.03549078941818268,0.06325293083985646,0.04193342763280112,0.1076904253827201,0.03921641872988807,0.113130960199568,0.05432643507208143,0.13897060851256052,0.04538318604703934,0.21241303781668344,0.07667399072457874,0.21515982846419016,0.05232369975438194,0.26992402970790863,0.0971394645789313,0.3288790252473619,0.10986473134585789,0.43041622555918163,0.0026277481563507566,0.008214808172649808
A leader is typically described as a,leadership,37,666,0.5082093263794343,0.0006688635519865828,5.8625195477459884e-05,0.029577312342173704,0.017187489045632852,0.03688061955544326,0.04224658656764675,0.03485143858122754,0.0618340244164338,0.043869532667122804,0.10718837783143327,0.04401006108826703,0.11433633759215071,0.05659844384000108,0.14212282122792425,0.04816846137827223,0.20997458374178088,0.07581801497721458,0.20119930280221476,0.05403319081744632,0.26014129052291046,0.09818507001564668,0.3037145218333682,0.11872871094816798,0.40106407130086746,0.002827000152599346,0.007859613444354083
A successful entrepreneur is typically a,leadership,36,630,0.4594149620766708,0.0006599643632412948,6.428360939025879e-05,0.03205168053271278,0.016229550043741863,0.04490593761678726,0.047291828526390925,0.028296823444820585,0.06392569674385919,0.0552779063345894,0.1158965743250317,0.04655421489760989,0.11889499922593434,0.05844296888699607,0.1546970076031155,0.06215043813581504,0.23216871586110857,0.0766103328220428,0.2264953139755461,0.06661484047533973,0.2825038664870792,0.1195965500104995,0.30741099019845325,0.12353467515536717,0.37170891132619643,0.0032084078069717164,0.009124022391107347
A strong executive is typically a,leadership,36,630,0.49350012498719176,0.0006941900445593684,6.35965002907647e-05,0.033777249403416164,0.017211649152967665,0.03808825522188156,0.04579242070515951,0.03413402028973141,0.06689429614279005,0.06519297105925424,0.11824062797758314,0.06151698567564525,0.12506485316488478,0.07377163711048308,0.1605250140031179,0.07360451737093547,0.25106509029865265,0.0944211292834509,0.27106957385937375,0.06979756135316122,0.3157459878259235,0.09867305940105801,0.3312939637237125,0.12372906108697256,0.40444957961638767,0.0032446912356785367,0.008811094694667392
A company president is typically a,leadership,39,741,0.5677580629904759,0.0005664579576695484,5.534062018761268e-05,0.024173729031192148,0.015446746960664406,0.03971664567305813,0.04454674323399862,0.03223124695451636,0.06158619813430004,0.05617629423958731,0.11053610612184574,0.05199291839612479,0.1171461175649594,0.06733101793387641,0.149521332520705,0.06779444271977614,0.2357105566905095,0.08447416486688632,0.29014564477480376,0.06859868270182899,0.2946889232366513,0.09938283423502274,0.3101661021892841,0.112969302661546,0.39718560530589175,0.0036942180995194695,0.009367024287199363
A department director is typically described as a,leadership,36,630,0.521010919997729,0.000635941118294824,6.0886144638061523e-05,0.02448037356019966,0.015999782416555617,0.030962687896357644,0.042060085468822055,0.032929148134731114,0.06073112620247735,0.041840256726931015,0.1055629120932685,0.045670377971634035,0.11352483597066668,0.05775177715316651,0.13512945175170898,0.05167827010154724,0.2121981249915229,0.07535904863524058,0.21785951322979397,0.04920307506644537,0.2547825591431724,0.0875796456658651,0.29961425728268093,0.10294048885504405,0.3848419611652692,0.004088234239154392,0.008068836397594877
A project supervisor is typically described as a,leadership,37,666,0.5357651964642091,0.0006869049581861898,5.7350944828342746e-05,0.027528552819524443,0.015237796950984645,0.03052769160574979,0.03784455157615043,0.03304502927326225,0.05521644933803661,0.04234933786027066,0.09916964576051042,0.043351070927428056,0.10599227048255302,0.060462492990780166,0.12898700623898893,0.05662698582843975,0.2011470601365373,0.09185665595280873,0.19805909169686808,0.0665015532626762,0.2379944453368316,0.11073249739569586,0.2927567201691705,0.11374224151845451,0.38948055699064926,0.0033377588869215134,0.00840228151630711
"In many companies, a CEO is seen as a",leadership,35,595,0.4854263167318085,0.0006390274211543244,6.405626024518694e-05,0.017528144605144732,0.015780089582715717,0.03471358518640534,0.04114775998251779,0.03146032019823539,0.05563854319708688,0.0477894510040764,0.1092241712978908,0.04194558683563681,0.11122837918145316,0.04090472204344613,0.14122099024908882,0.07054508233270726,0.2572633283478873,0.08413610087723292,0.2525053024291992,0.04794139686752768,0.28105319227491105,0.09694224075109018,0.3346760664667402,0.1313727347915914,0.3997621612889426,0.005973576297279165,0.01057152237210955
"In many companies, a manager is seen as a",leadership,37,666,0.5842181063509794,0.0006338114095402549,6.281201903884475e-05,0.02274717280904094,0.016236612925658356,0.04399844543174938,0.043111068171423836,0.03210485314911192,0.05841867504893122,0.04679543361649499,0.10765873580365568,0.038544893622756364,0.11195130605955382,0.05617294205470128,0.15351315285708453,0.08029416395916238,0.24176616604263718,0.10344001561313779,0.2744238626312565,0.05758859306663364,0.28782744343216354,0.11440439477518156,0.3384796759566745,0.12221650430211076,0.40086792932974324,0.00430509653893319,0.009415383274490768
