context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24,l3_layer_25,pertok_layer_25,l3_layer_26,pertok_layer_26,l3_layer_27,pertok_layer_27,l3_layer_28,pertok_layer_28,l3_layer_29,pertok_layer_29,l3_layer_30,pertok_layer_30,l3_layer_31,pertok_layer_31,l3_layer_32,pertok_layer_32
A CEO is typically described as a,leadership,33,528,0.23620475070078165,0.6893968139775097,0.9050991855328903,0.7059861125671887,0.9129223425170494,0.0006417997296800571,6.213181053886728e-05,0.014862262082684909,0.0003422714272049516,0.010529384939208117,0.0005558291863725934,0.004759498769283114,0.0008835219063589154,0.0031004175985871385,0.0012721666865243783,0.006776086059640592,0.0017249568317105083,0.008275475188023481,0.002488650570988675,0.010180249568739554,0.0031026485441426207,0.009095099686758777,0.004145755844694936,0.00912057339238343,0.006829596038935615,0.010805093606888926,0.0072370820483703925,0.015653123410757645,0.008663384140351053,0.016108403037265944,0.00929047980286553,0.01283883005952567,0.009622485076608052,0.01122088492921417,0.010466788543367384,0.010432476904061488,0.011807322358470287,0.012315085118717487,0.013392621531791932,0.01973635350974458,0.014871073692596631,0.027647115019207014,0.017693425842052867,0.023017281778899598,0.019246249324882822,0.01522308853356047,0.02106849354362404,0.021002736627432773,0.02339398410060079,0.031079076978942074,0.026133363691419796,0.019793923365489473,0.02903446506645289,0.023129464337576473,0.03211992674718487,0.021203429723206886,0.03191633857958724,0.024615308908120866,0.03624962004436599,0.02231518580349941,0.03800583437024984,0.029066529358517345,0.03836183419801688,0.027796928756181973,0.03997900697399479,0.026618445394854924,0.03754364784277544,0.025847404170594765,0.038457797082826525,0.11718720468221852,0.0907093980878943
A manager is typically described as a,leadership,34,561,0.21191724040581014,0.7136463166680187,0.8757998826913536,0.727362522436124,0.8878515693049849,0.0005287501523154334,5.6343052863939896e-05,0.014894186137855222,0.00032272298322276216,0.010236386321219933,0.0005235862207824518,0.003728825519386326,0.0008424424279975936,0.002887161025876391,0.0012611011349023505,0.005810368589575364,0.001748072008965971,0.007907014477753342,0.0024814241128433326,0.009210660892122021,0.0031832392411693666,0.007992696537149745,0.00444271456039211,0.008104258389740342,0.007059907117938864,0.008492988453333093,0.007672372783939109,0.013338165416483992,0.008437945502432667,0.01327478545043211,0.008739472701781563,0.010608350375507896,0.009363871930925124,0.011390248166002242,0.010557505474955212,0.011595925754090108,0.012083547424698308,0.01586721604615728,0.013766921286970761,0.022317241255973636,0.01567040501278195,0.03081968987410925,0.01885890587891413,0.028214316827702014,0.02101201896645805,0.022330687264265268,0.024209788239945892,0.026793452658523335,0.02726783850121161,0.03248879780279065,0.030014282955426897,0.018700745869473907,0.03374772165008988,0.021081609824620665,0.03790114319460935,0.021059941640766647,0.03736173929331845,0.027664343663388324,0.04246813523553848,0.026185906242119913,0.044660851016896194,0.03278877878667755,0.04487162073853138,0.03052977768526005,0.046598974783590874,0.03042446981259911,0.04366131072280101,0.028879642140156363,0.043870383775150755,0.11948691093196039,0.08744663906887634
A leader is typically described as a,leadership,34,561,0.21872320564958586,0.7696998037863523,0.9314269020687789,0.7802418543360545,0.9360580849379403,0.00042705795559918946,3.8529281097350844e-05,0.013956396061112463,0.0002935757449901645,0.010014532721723094,0.0005099864845771479,0.003938713135432169,0.0008375625791206052,0.002581874723685968,0.0012999767444545405,0.005269201827393419,0.0020070928529722985,0.00731504332081265,0.0028247007024972894,0.011181126484859508,0.0034784598999345216,0.010016591550683279,0.004967441001784364,0.010477265320254036,0.007994170072200605,0.015050875210579377,0.008099950079592496,0.02213772294037508,0.009035099691988494,0.0210378888185827,0.009555399531553063,0.015140360416762961,0.01017450174096026,0.014148176275371543,0.01143580043289832,0.014278328609238921,0.013095855551860314,0.017480083670445838,0.014763502278529139,0.02487250454110683,0.016395377728591815,0.03177934802015017,0.019500632111340115,0.03163358777217976,0.021459766675875104,0.022283036790539862,0.02396652201883926,0.031449895807387,0.027246129900400647,0.04038084397174693,0.030876696961959434,0.022631169541925105,0.035071893074687284,0.027776567334046712,0.038083794948684926,0.02487692797569912,0.0372793146307431,0.031152372248000465,0.04104871311380868,0.025465195808150154,0.04091960640299852,0.036184357494426264,0.040475426242872016,0.03307291903372364,0.04101681260780368,0.03380335961958875,0.037310829571370656,0.03274103837604066,0.0368270961560517,0.11652101894913011,0.07510978462064236
A successful entrepreneur is typically a,leadership,32,496,0.3497820327979751,0.5255122557282448,0.8597229798324406,0.5614301043679006,0.8846347187718493,0.0006114934709064931,5.2285475742885196e-05,0.014053418111815257,0.0002905528120265878,0.010467381961919466,0.0005900629898891487,0.006235066288734785,0.0009693318015087105,0.004932138257585037,0.001485007372835058,0.009401267366924045,0.0020476967725084096,0.010137027401420879,0.0029193651730205147,0.013532470445568608,0.0038247482483622225,0.01128846338060925,0.004833820556389722,0.009810835465927557,0.00568929036676331,0.012247896608646593,0.0061363143630133,0.015114603434253247,0.006811220788102954,0.016719145439950678,0.007470795593817182,0.011853222172420937,0.008189243528282729,0.00993548099517508,0.009307522740429154,0.010461531528752243,0.011411893372191877,0.012534687725918585,0.013441214669223475,0.017249074680412556,0.01450488956911241,0.018792058940456113,0.017314181191660838,0.01892073562529983,0.0197376285196936,0.018569584198266872,0.022938073474654274,0.01867986276862308,0.024903007238205203,0.028034971612018417,0.029274240035926286,0.01842888886719851,0.035018123182886975,0.02754806768987508,0.03747538357258316,0.02152159904195493,0.043326795454295894,0.03186055391820791,0.04722328088200336,0.026085950804822226,0.04624914635681915,0.03744225344365723,0.04393360791643877,0.03031986131752709,0.043520634873597794,0.030743617370280727,0.04002332202330593,0.029476915228749696,0.043285288054255744,0.20350683653443158,0.17107665064084485
A strong executive is typically a,leadership,33,528,0.4121414417811901,0.45035118935629725,0.9079277177806944,0.46819432239135494,0.9151849667578063,0.0005537903598643848,4.212041569005211e-05,0.014433307388657248,0.0003250877443762391,0.010799155824229219,0.0006106404123676306,0.005843895270138181,0.0010561725298881234,0.004134630730547991,0.0016398777312830088,0.007358436379068193,0.002257854006478609,0.011100165812223424,0.003087494310848046,0.015631418708961176,0.003806725588438245,0.014053908312631107,0.005328871512044874,0.011580384233426971,0.007176950828666765,0.012815458793684866,0.007718224832183019,0.019552140288180246,0.008689005991301721,0.017964217066107367,0.009494338033951893,0.013387883674203146,0.01060981420430741,0.012728713787688575,0.012107826767584283,0.012222488669163365,0.014289086226713476,0.01548054317264772,0.016850037826022297,0.020414774788447186,0.017900755162539854,0.021512304612504043,0.021375183075982164,0.021688514783974804,0.024027626867663958,0.01747264169934922,0.02847083336326489,0.02236853262059119,0.03225449931754671,0.03709357445921185,0.03824379993126038,0.024531827451210398,0.04195109545739277,0.034860662596315616,0.044310250668700236,0.032371202197544614,0.04364855216565936,0.039946707050464846,0.04917295907922263,0.03555136172307451,0.04972868845722924,0.0450979861477589,0.04910530436578924,0.038965677330998136,0.04851060624264097,0.03793568438742123,0.043489170154790584,0.03858945989648683,0.04593827849595439,0.15421601251685685,0.1114919142630011
A company president is typically a,leadership,34,561,0.4295645287651232,0.5432594148442149,0.9285991305951029,0.562106380259138,0.93537194381679,0.0005775714584330081,5.672063647976135e-05,0.013420522367967463,0.0002939218337530185,0.010720349986310607,0.0005797430343915143,0.006773212550855393,0.0009319182860905391,0.004235495629739388,0.0014378022859823697,0.00934768829938588,0.002087829068831589,0.012442976531040654,0.0030094600910084064,0.016270131945427344,0.003848459878167183,0.009830430249645014,0.005856001319077189,0.008389068787509437,0.007651966531568388,0.010179865918403778,0.008211344325927206,0.015013536734230629,0.008932702174271763,0.015092308754152028,0.009402384378733142,0.010812433285293039,0.010085314652318078,0.009744395148294206,0.011141388062677716,0.012089045304575255,0.01303203580989494,0.011913929893764575,0.015446858870542323,0.021781749365127844,0.01759108617905794,0.02787967629407275,0.021291266503540664,0.02746903630136841,0.023502871686671086,0.020209166070271085,0.027187572578728204,0.025940874002749744,0.030025598257930355,0.035860253105267935,0.034012018316881304,0.023992895401686355,0.03585311842514534,0.02826462335243981,0.040641044437806736,0.02752065329458501,0.0397849668148532,0.034834995824887915,0.04607174526888676,0.0305272153772204,0.04740181981718867,0.03712619540840615,0.04775790720601519,0.03526158098512648,0.04754237524913294,0.03309915212386463,0.04534165610666486,0.03270739377801984,0.04586390707044036,0.13404307052001446,0.10253954768029386
A department director is typically described as a,leadership,33,528,0.3389645252355194,0.566543482709676,0.839635418029502,0.5856133457373289,0.844015320395556,0.000548892557854201,6.50924647606178e-05,0.013182265941406078,0.00030214552578825584,0.0092746445585153,0.00048052740874672496,0.004217326070820835,0.0008006559908781996,0.0028607869423909215,0.0012273791632990592,0.00524592637800982,0.0016347549933788499,0.00688674415156648,0.0020744437251717543,0.00945913534245843,0.002576851937972517,0.009600530691747865,0.003369105607823139,0.007102088506666994,0.006155115429532829,0.006678304809343774,0.006556322394847619,0.011922437795258272,0.007179124856695386,0.011545562513687819,0.007732358538866776,0.008427166978845331,0.008124802308711734,0.009526196647393887,0.009270916554939956,0.009378965649473736,0.010813721818322934,0.01048773898874324,0.012531363279429894,0.018771939663329327,0.014146325710845713,0.024638321634822567,0.017015008702093423,0.019320040124320863,0.017655267593798676,0.0139008693944152,0.020218403254453756,0.018113012915527762,0.022483894696465938,0.022754192474511815,0.024601593488566702,0.01612228479003364,0.026722935277884153,0.020488248726417982,0.03369310569216699,0.02035541681071182,0.03169374639044237,0.023471004972275406,0.03665055368528203,0.02142796746494431,0.03882102258821044,0.025927688305428406,0.039725943813456656,0.02475156925179384,0.04109266320988372,0.025614640055896167,0.039112229423594845,0.023720944298018368,0.03990803870153478,0.07766409429276484,0.0687070179690982
A project supervisor is typically described as a,leadership,32,496,0.298962995373712,0.6539296600967646,0.840898311464116,0.6612935407797522,0.8463376775980578,0.0005194871896966747,4.827744782727114e-05,0.014122856899430122,0.0003158181826788016,0.008840398188113162,0.0004652883274579196,0.004138016253551222,0.0007665590248977575,0.002886894261535293,0.001167199682267358,0.0050690527799370005,0.001557032644729034,0.00769557795390127,0.002152728239611181,0.008026484288504549,0.002716866501721371,0.00946207195276616,0.003703600310458348,0.006889421564539069,0.006348673485826708,0.007929067263090813,0.0068113318846422626,0.014723464020929035,0.007594955347408727,0.0126014829779583,0.008159935720711872,0.009046379620217457,0.008293789065066087,0.008640711973842,0.009475132173888016,0.008933019149697543,0.011095675747442874,0.010426418429289507,0.012700406072730451,0.016091144641249853,0.01481378173479549,0.022211530682561015,0.018036526584983816,0.017760497187680645,0.019312712437785512,0.01774110561510177,0.022686551838621696,0.019152235017316294,0.024872753274241998,0.024189712292086534,0.02771807267783559,0.016735810336956966,0.0309729027673234,0.02127285033194108,0.03843099802229746,0.02028143729178723,0.036749274943489466,0.025938231327821727,0.0424021388810121,0.024089039086994394,0.04472150555220035,0.029126368685675894,0.04492380746344453,0.027252219806803663,0.04679285358910058,0.02764517552294689,0.04387303137771992,0.02528040216071583,0.045620159103061164,0.09075990250572243,0.09270618140748935
"In many companies, a CEO is seen as a",leadership,30,435,0.226963977138549,0.4326460682787001,0.8044858588837087,0.4594577751777251,0.8205949610855896,0.0005802401793823113,5.7416431252617825e-05,0.008150337938037154,0.00023197407593874195,0.004736062648413927,0.00031570971506960087,0.0021381099845386125,0.0004775273626890453,0.0024303397833743945,0.0006693864382577648,0.0034323719394651377,0.0008569131068432156,0.006786169332075358,0.0012053414803328184,0.00693904593716885,0.00171537157084967,0.008479710797492093,0.002208624400484945,0.007519796998281655,0.004177881635271408,0.006180596380745797,0.004230422889950592,0.009079201614477376,0.005049142044631509,0.008400387016799071,0.00532548767822861,0.00643274450199034,0.005576293016138893,0.006570295910791112,0.0062512371673034695,0.006900519122101761,0.0074176062414596285,0.007213839958593302,0.008335578108983015,0.012727657146423153,0.008928114555664841,0.01748418743407261,0.011237986155576248,0.0177988785780401,0.013264643224127681,0.011501308926067091,0.0143746251353377,0.0125499485824209,0.01614517789430029,0.02041786540580058,0.018076314079308545,0.018199954965147338,0.021307835144916906,0.021719081131910546,0.023271989968697566,0.020369144981640098,0.02389980734944674,0.02843000949126195,0.02720242880213251,0.02406664272746772,0.027591546983016402,0.03032278418265452,0.027823722545487605,0.02660891863560064,0.028100967875428037,0.02837788422352631,0.026109549060318357,0.02653133130970771,0.02666862820621502,0.11488510947319773,0.07412794906484922
"In many companies, a manager is seen as a",leadership,31,465,0.23278983720764948,0.4249930609948933,0.8574475846253335,0.4476034332328709,0.8666990159799752,0.0005754761980049438,5.533545906303176e-05,0.008919314721926763,0.00022774777726241788,0.004992177509596759,0.00031038891728010505,0.0020700310360443463,0.0004421608797587727,0.0019511608760307212,0.0006347979695785274,0.002748330695771738,0.0008239513983113912,0.006384221644787351,0.0011583649007224264,0.007109557521130218,0.0016505801662919086,0.007980315055395874,0.0022339864037019138,0.007987100382319057,0.004436810338916204,0.006851355377891643,0.0045146671554516,0.010067807066703271,0.005003811731140961,0.01004040394928014,0.005283153026251089,0.007862987988287658,0.005553380337153672,0.007577016988754403,0.0062750252953686836,0.007528068839994183,0.007433512471045071,0.009472937318027062,0.008545683361758242,0.01804720541835578,0.00952948720567441,0.022180859640806617,0.011787407151822754,0.022116670499848192,0.01400985107145943,0.01586451399811717,0.015926966986432502,0.016881156784706808,0.017594333823507613,0.02397413751054049,0.019538290021229598,0.02273542756205828,0.02286053437981264,0.025956405763169158,0.024590357283911634,0.025824595299883717,0.02471155807867303,0.03229943950262999,0.02761615089619093,0.028178477019037185,0.027606314039046738,0.03450577719617587,0.027746804572222946,0.03154432053314375,0.02816863864320198,0.031221907007281835,0.025662943523117474,0.028813196963016117,0.02584647778944891,0.11897334179723389,0.06010923128910897
